losses/explained_variance,losses/entropy,losses/approx_kl,charts/episodic_length,_timestamp,charts/SPS,charts/learning_rate,_runtime,charts/episodic_return,global_step,losses/clipfrac,_step,losses/value_loss,losses/old_approx_kl,losses/policy_loss
0.11649304628372192,0.5147227644920349,0.00174797885119915,,1763260494.5471792,785.0,0.00010629800090100616,438.29578733444214,,322944,0.001953125,3406,0.00028717334498651326,-0.006256474182009697,-0.019513200968503952
,,,500.0,1763260494.574745,,,438.3233530521393,500.0,323018,,3407,,,
0.023212850093841553,0.5644817352294922,2.4341978132724762e-05,,1763260495.7027583,786.0,0.00010552995081525296,439.45136642456055,,324224,0.0,3419,0.004413329530507326,-0.0012178095057606697,0.0013208240270614624
-0.22314715385437012,0.5167064070701599,0.0007826974615454674,,1763260496.408419,787.0,0.00010506912803975865,440.1570270061493,,324992,0.0,3426,0.0006038848659954965,0.004040098749101162,-0.009885750710964203
8.45789909362793e-05,0.5605436563491821,0.0001554815098643303,,1763260496.5228486,787.0,0.00010499232303118333,440.2714567184448,,325120,0.0,3428,572.645751953125,0.006025397218763828,-0.004451453685760498
0.006111323833465576,0.5597423315048218,0.00035304389894008636,,1763260497.2351758,787.0,0.00010453149297973141,440.9837839603424,,325888,0.0,3435,0.0005098791443742812,-0.005933705717325211,0.007506745867431164
0.08586263656616211,0.5599128007888794,0.00021451618522405624,,1763260498.6193485,789.0,0.00010360983287682757,442.3679566383362,,327424,0.0,3450,0.0003248649591114372,0.00021361093968153,0.0055435895919799805
,,,500.0,1763260498.6525204,,,442.4011285305023,500.0,327518,,3451,,,
3.731250762939453e-05,0.5569356679916382,0.00017440877854824066,,1763260499.6696146,789.0,0.00010291858779964969,443.41822266578674,,328576,0.0,3462,980.9022216796875,0.00435432605445385,-6.921589374542236e-06
,,,500.0,1763260500.9621623,,,444.71077036857605,500.0,330018,,3476,,,
-0.003712892532348633,0.5663807392120361,1.9040890038013458e-05,,1763260501.3218644,790.0,0.0001018433176795952,445.0704724788666,,330368,0.0,3479,0.00044103170512244105,0.000514608807861805,-0.0002399832010269165
-0.03088963031768799,0.6117812395095825,9.96273010969162e-05,,1763260503.0493534,792.0,0.0001006912425509654,446.79796147346497,,332288,0.0,3498,0.0007949415012262762,-0.004109732806682587,0.002597615122795105
0.10817039012908936,0.5458842515945435,0.0006817365065217018,,1763260503.5406604,792.0,0.00010038402251666412,447.28926849365234,,332800,0.0,3503,0.0005742183420807123,-0.002427038736641407,-0.004490882158279419
0.07134902477264404,0.5433975458145142,7.902365177869797e-05,,1763260504.4778342,793.0,9.976958244806156e-05,448.22644233703613,,333824,0.0,3513,0.0003923423355445266,-0.003445128910243511,-0.0007025450468063354
,,,500.0,1763260505.537869,,,449.2864770889282,500.0,335018,,3525,,,
-0.03959393501281738,0.5459756255149841,0.0002120230346918106,,1763260506.688425,794.0,9.831029456108809e-05,450.4370331764221,,336256,0.0,3537,0.003586242441087961,0.005935860797762871,-0.0019797980785369873
,,,500.0,1763260508.2198222,,,451.9684302806854,500.0,338018,,3554,,,
6.091594696044922e-05,0.5706379413604736,1.896638423204422e-05,,1763260508.2984266,796.0,9.72350244410336e-05,452.047034740448,,338048,0.0,3555,870.5220947265625,-0.0012346664443612099,0.0002607107162475586
0.1341739296913147,0.5471685528755188,3.098044544458389e-05,,1763260510.2773924,797.0,9.592933929525316e-05,454.02600049972534,,340224,0.0,3576,0.0037616693880409002,0.0005601877346634865,-0.0016917847096920013
0.10828906297683716,0.5524408221244812,6.121210753917694e-05,,1763260510.537082,797.0,9.577572927810252e-05,454.2856900691986,,340480,0.0,3578,0.00041738245636224747,0.002462441101670265,0.0006119944155216217
-0.1019660234451294,0.530135452747345,0.00045463070273399353,,1763260510.764337,797.0,9.562211926095188e-05,454.5129451751709,,340736,0.0,3581,0.0037263520061969757,-0.00493587926030159,-0.00738009437918663
,,,500.0,1763260511.441066,,,455.1896741390228,500.0,341518,,3589,,,
,,,500.0,1763260513.7102067,,,457.45881485939026,500.0,344018,,3613,,,
0.06252807378768921,0.5925409197807312,0.0002735462039709091,,1763260514.574799,800.0,9.308755397796631e-05,458.32340717315674,,344960,0.0,3622,0.00026092882035300136,-0.001392541453242302,0.0014244616031646729
-0.08378708362579346,0.5273571014404297,4.5037828385829926e-05,,1763260516.224174,801.0,9.201229113386944e-05,459.97278213500977,,346752,0.0,3640,0.0030251506250351667,0.004773502238094807,-0.0014155488461256027
0.12029623985290527,0.5313338041305542,0.00012547895312309265,,1763260517.7218506,802.0,9.101382602239028e-05,461.4704587459564,,348416,0.0,3656,0.0003127827658317983,0.0025019217282533646,-0.005107555538415909
