losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/value_loss,losses/policy_loss,_timestamp,losses/entropy,_runtime,charts/episodic_return,losses/approx_kl,charts/learning_rate,_step,global_step,charts/SPS,charts/episodic_length
-2.1365785598754883,0.061656251549720764,0.103515625,4.869492840953171e-05,-0.040414534509181976,1763260200.019177,0.16482457518577576,157.87499499320984,,0.016026152297854424,0.00022834101400803775,2185,119552,768.0,
,,,,,1763260201.3613245,,159.2171425819397,500.0,,,2192,120270,,500.0
-1.6106114387512207,0.023375580087304115,0.06640625,0.00034215854248031974,-0.02218649536371231,1763260202.867789,0.28357574343681335,160.72360706329346,,0.007627048529684544,0.00022749615891370922,2199,120960,763.0,
-1.6052360534667969,-9.361747652292252e-05,0.0,9.052611858351156e-05,-0.0005983598530292511,1763260205.4533377,0.2839997112751007,163.30915570259094,,0.00032585766166448593,0.00022672810882795602,2211,122240,758.0,
-2.761305332183838,0.0028081387281417847,0.0,0.0028189667500555515,-0.0010404232889413834,1763260205.9878135,0.2789023816585541,163.8436315059662,,0.0005295928567647934,0.00022657449881080538,2214,122496,757.0,
-1.2397093772888184,-1.3272278010845184e-05,0.0,1.827701271395199e-05,2.0675361156463623e-05,1763260207.2537777,0.2082645297050476,165.10959577560425,,0.00023776572197675705,0.00022619047376792878,2220,123136,756.0,
0.000655829906463623,-0.003843187354505062,0.0,0.009608912281692028,0.0016123056411743164,1763260207.8096492,0.14925789833068848,165.66546726226807,,0.00030605774372816086,0.00022603686375077814,2223,123392,755.0,
-2.1308932304382324,-0.024595892056822777,0.041015625,0.0003472229582257569,0.04052704572677612,1763260208.2769701,0.2295132726430893,166.13278818130493,,0.004463269375264645,0.0002258832537336275,2225,123648,754.0,
,,,,,1763260208.341522,,166.19734001159668,500.0,,,2226,123770,,500.0
0.00018727779388427734,-0.005386019125580788,0.017578125,0.005762274377048016,0.014878641813993454,1763260208.54839,0.23053480684757233,166.40420794487,,0.0027614906430244446,0.00022580644872505218,2227,123776,753.0,
-1.3593130111694336,0.010412899777293205,0.021484375,6.510043021989986e-05,0.0034916698932647705,1763260210.2707071,0.20982924103736877,168.1265251636505,,0.0077368831261992455,0.00022526881366502494,2235,124672,751.0,
,,,,,1763260211.3398154,,169.19563341140747,500.0,,,2241,125270,,500.0
-2.5201504230499268,-0.009974700398743153,0.001953125,0.0010346140479668975,0.0015976056456565857,1763260212.801615,0.2792510986328125,170.6574330329895,,0.0022709043696522713,0.00022450076357927173,2248,125952,747.0,
-2.4535889625549316,0.016090618446469307,0.037109375,8.051376062212512e-05,-0.014203235507011414,1763260213.2825506,0.1684115082025528,171.13836860656738,,0.004490671679377556,0.0002243471535621211,2250,126208,747.0,
-2.5600335597991943,0.09038623422384262,0.068359375,0.001305747078731656,-0.03901805728673935,1763260213.845942,0.31005406379699707,171.70176005363464,,0.030071258544921875,0.00022419354354497045,2253,126464,746.0,
0.0002599954605102539,0.013426415622234344,0.00390625,141.5029296875,0.001844232901930809,1763260217.6565201,0.21171699464321136,175.5123381614685,,0.002864314243197441,0.00022304146841634065,2272,128384,740.0,
,,,,,1763260219.233449,,177.08926701545715,500.0,,,2280,129270,,500.0
,,,,,1763260222.2251666,,180.08098459243774,500.0,,,2295,130770,,500.0
-2.0874698162078857,-0.006704154424369335,0.087890625,1.9470900952001102e-05,0.029923396185040474,1763260222.9536288,0.1902584731578827,180.80944681167603,,0.01551359798759222,0.00022142857778817415,2298,131072,733.0,
,,,,,1763260225.3504086,,183.20622658729553,500.0,,,2310,132270,,500.0
