losses/old_approx_kl,losses/explained_variance,losses/value_loss,losses/policy_loss,_timestamp,charts/SPS,losses/clipfrac,losses/entropy,charts/episodic_length,_runtime,global_step,charts/episodic_return,charts/learning_rate,_step,losses/approx_kl
,,,,1763260611.7145572,,,,500.0,569.6408910751343,400119,500.0,,5039,
0.01765291951596737,0.9984151721000671,7.164859562180936e-05,-0.04414769262075424,1763260615.111625,706.0,0.044921875,0.23893415927886963,,573.0379588603973,403328,,5.806451736134477e-05,5071,0.009031764231622219
0.05732940882444382,0.9980486035346985,0.0013084225356578827,-0.035125747323036194,1763260619.9707081,708.0,0.0703125,0.13365061581134796,,577.8970420360565,408064,,5.522273568203673e-05,5117,0.014960750006139278
-0.005508271977305412,0.9996964931488037,0.0011844730470329523,-0.05820726975798607,1763260620.4682093,709.0,0.078125,0.21276254951953888,,578.394543170929,408576,,5.491551564773545e-05,5122,0.0324455127120018
0.004234544932842255,0.9992619752883911,0.00020089778990950435,-0.024516426026821136,1763260621.0364075,709.0,0.056640625,0.1178235188126564,,578.9627413749695,409088,,5.4608295613434166e-05,5127,0.00902814045548439
,,,,1763260621.0536013,,,,500.0,578.97993516922,409119,500.0,,5128,
-0.0006544291973114014,0.9983618259429932,0.0002885803987737745,-0.031137673184275627,1763260622.3897057,709.0,0.03125,0.22028520703315735,,580.3160395622253,410368,,5.384024552768096e-05,5140,0.009290567599236965
0.023888209834694862,0.9991016983985901,0.0009176196763291955,-0.0315786749124527,1763260623.058114,710.0,0.03125,0.09052832424640656,,580.9844479560852,411008,,5.345622048480436e-05,5146,0.008461548946797848
0.05050014331936836,0.9995865225791931,8.869134035194293e-05,-0.04323534667491913,1763260623.4715152,710.0,0.025390625,0.21793194115161896,,581.3978490829468,411392,,5.32258054590784e-05,5150,0.009777417406439781
0.0039304811507463455,0.9997078776359558,0.0004641215782612562,-0.006226837635040283,1763260623.5996091,710.0,0.001953125,0.15307724475860596,,581.5259430408478,411520,,5.314900045050308e-05,5151,0.0007748790085315704
-0.006269589066505432,0.6366461515426636,0.8764089941978455,-0.014785289764404297,1763260624.8101451,710.0,0.013671875,0.09971616417169571,,582.7364790439606,412672,,5.2457759011304006e-05,5163,0.0016079992055892944
0.013120045885443687,0.9999445676803589,0.00020586706523317844,-0.013199590146541595,1763260625.06791,711.0,0.044921875,0.24494606256484985,,582.9942438602448,412928,,5.2304148994153365e-05,5165,0.010102590546011925
,,,,1763260628.430061,,,,500.0,586.3563950061798,416119,500.0,,5196,
0.0004612701013684273,0.8834502696990967,0.0030807710718363523,-0.002056106925010681,1763260628.5526762,712.0,0.025390625,0.13858681917190552,,586.479010105133,416128,,5.038402377977036e-05,5197,0.0019775638356804848
0.008923906832933426,0.9990445375442505,9.668685379438102e-05,-0.01932568848133087,1763260633.1477606,713.0,0.01171875,0.1949976235628128,,591.0740945339203,420352,,4.78494621347636e-05,5238,0.0032228995114564896
0.003086056560277939,0.9991901516914368,0.00024825806031003594,-0.004365254193544388,1763260633.275648,713.0,0.0,0.139181986451149,,591.2019820213318,420480,,4.777265712618828e-05,5239,0.00036514364182949066
-0.008189167827367783,0.9969809055328369,0.0002885449503082782,-0.04691633582115173,1763260633.8289657,714.0,0.05078125,0.22329235076904297,,591.7552995681763,420992,,4.7465437091887e-05,5244,0.014325059950351715
0.0035254135727882385,0.13661938905715942,0.016879895702004433,-0.004688583314418793,1763260634.5246167,714.0,0.06640625,0.18271474540233612,,592.4509506225586,421632,,4.7081412049010396e-05,5251,0.007636786438524723
0.03234957158565521,0.9993261694908142,0.00020925667195115238,-0.03594016656279564,1763260635.2915657,714.0,0.017578125,0.18794254958629608,,593.2178995609283,422400,,4.6620581997558475e-05,5258,0.008229076862335205
0.003480968065559864,0.9996453523635864,5.431150566437282e-05,0.00020658224821090698,1763260636.1418197,715.0,0.0078125,0.2184070646762848,,594.0681536197662,423296,,4.608295057551004e-05,5267,0.0023698611184954643
0.010257665067911148,0.5917633175849915,102.03556060791016,-0.0015584547072649002,1763260637.4721286,716.0,0.013671875,0.15371443331241608,,595.3984625339508,424704,,4.523809548118152e-05,5281,0.0022468678653240204
0.02808128297328949,0.6013532876968384,0.013244176283478737,-0.024522002786397934,1763260639.5231314,716.0,0.021484375,0.2808716595172882,,597.4494652748108,426624,,4.4086020352551714e-05,5300,0.004838380962610245
-0.05763423070311546,0.9948464035987854,0.00042144907638430595,-0.00667455792427063,1763260641.9640038,717.0,0.041015625,0.2100967913866043,,599.8903377056122,428928,,4.2703533836174756e-05,5322,0.017807910218834877
0.04537946358323097,0.9972727298736572,0.00040111810085363686,-0.061267778277397156,1763260642.6344185,717.0,0.064453125,0.24130381643772125,,600.5607523918152,429568,,4.2319508793298155e-05,5328,0.02297666296362877
0.010576360858976841,0.9996050596237183,0.0004846402443945408,-0.027668030932545662,1763260645.877934,719.0,0.0,0.19492343068122864,,603.8042678833008,432768,,4.0399387216893956e-05,5360,0.0018748017027974129
-0.0026626884937286377,0.9999228715896606,0.00047268197522498667,0.029879294335842133,1763260646.1167598,719.0,0.0625,0.2281520664691925,,604.0430936813354,433024,,4.0245777199743316e-05,5362,0.006682440638542175
0.0064622703939676285,0.9655935168266296,0.017147066071629524,-0.029507309198379517,1763260648.9335222,720.0,0.01171875,0.21725545823574066,,606.8598561286926,435712,,3.863287201966159e-05,5389,0.002251744270324707
0.0009735748171806335,0.9998871684074402,8.74758989084512e-05,-0.0023929625749588013,1763260653.332629,722.0,0.0,0.18548059463500977,,611.2589628696442,439936,,3.609831037465483e-05,5430,8.392333984375e-05
0.0005255695432424545,0.9998955130577087,0.00047030780115164816,-0.05729609355330467,1763260654.4448943,722.0,0.044921875,0.2362700253725052,,612.3712282180786,440960,,3.548387030605227e-05,5440,0.015079902485013008
0.02658875659108162,0.9999390244483948,0.0013888631947338581,-0.021845918148756027,1763260654.5774095,722.0,0.0546875,0.15768639743328094,,612.5037434101105,441088,,3.540706529747695e-05,5441,0.007845785468816757
,,,,1763260654.6076467,,,,500.0,612.5339806079865,441119,500.0,,5442,
-0.0011976398527622223,0.9740061163902283,0.012684270739555359,0.0007501281797885895,1763260654.7399726,722.0,0.0,0.14951884746551514,,612.6663064956665,441216,,3.533026028890163e-05,5443,3.7105754017829895e-05
0.008227718994021416,0.8777629137039185,0.3606773316860199,-0.01632903516292572,1763260655.8235888,723.0,0.0,0.19446416199207306,,613.7499227523804,442240,,3.4715820220299065e-05,5453,0.0002251099795103073
-0.0013576019555330276,0.9998714923858643,8.191665983758867e-05,0.002683248370885849,1763260655.9495413,723.0,0.0,0.17890648543834686,,613.8758752346039,442368,,3.4639015211723745e-05,5454,2.5600194931030273e-05
0.020999889820814133,0.9999591112136841,0.00031881663016974926,-0.013555079698562622,1763260658.022042,723.0,0.05859375,0.1650030016899109,,615.9483759403229,444032,,3.364055373822339e-05,5470,0.012086247093975544
0.0062386468052864075,0.9998896718025208,0.0005438319640234113,-0.005552709102630615,1763260660.7149265,724.0,0.037109375,0.1786239594221115,,618.6412603855133,446464,,3.2181258575292304e-05,5494,0.005232492461800575
-0.013838577084243298,0.9997704029083252,0.00036546768387779593,-0.039143286645412445,1763260662.4104087,724.0,0.05078125,0.21569277346134186,,620.3367426395416,448000,,3.125960211036727e-05,5509,0.010109744034707546
-0.01323478389531374,0.9992510080337524,0.00033477821853011847,-0.01870923489332199,1763260663.3999376,725.0,0.029296875,0.1423945426940918,,621.3262715339661,448896,,3.072196705034003e-05,5518,0.005555328913033009
