charts/episodic_length,_runtime,global_step,charts/SPS,losses/value_loss,losses/explained_variance,losses/policy_loss,losses/old_approx_kl,_step,charts/learning_rate,charts/episodic_return,losses/entropy,losses/approx_kl,_timestamp,losses/clipfrac
,229.42495322227478,103424,509.0,476.08868408203125,-9.059906005859375e-06,-0.0010814890265464783,0.0008578142151236534,1215,0.00023801843053661287,,0.5553872585296631,1.515168696641922e-05,1763260287.8617883,0.0
,230.73946166038513,104576,511.0,0.006869628094136715,-0.02342355251312256,-0.004862850531935692,-0.00604208093136549,1226,0.00023732718545943499,,0.5387067794799805,0.0013161441311240196,1763260289.1762967,0.0
,231.15429401397705,104960,512.0,308.53814697265625,0.00011485815048217773,-0.004166904836893082,0.0003063483163714409,1230,0.00023709677043370903,,0.546776294708252,0.0003515193238854408,1763260289.591129,0.0
500.0,231.64151048660278,105407,,,,,,1234,,500.0,,,1763260290.0783455,
,233.71584844589233,106496,513.0,238.69613647460938,-4.887580871582031e-06,-0.0010871859267354012,-0.002231384627521038,1245,0.00023617511033080518,,0.5884519815444946,0.0003213780000805855,1763260292.1526835,0.0
500.0,235.41308116912842,107407,,,,,,1254,,500.0,,,1763260293.8499162,
,238.5964970588684,109184,514.0,0.0003929186495952308,0.010965526103973389,0.003720291890203953,-0.022697264328598976,1271,0.00023456220515072346,,0.5561584830284119,0.006339798681437969,1763260297.033332,0.017578125
,243.67514300346375,112000,515.0,442.68951416015625,0.0002796649932861328,0.001159217208623886,0.01815849170088768,1299,0.00023287250951398164,,0.5322313904762268,0.0005701454356312752,1763260302.111978,0.0
,248.70774102210999,116096,522.0,0.006730508990585804,-0.008569717407226562,5.607679486274719e-05,0.018902955576777458,1339,0.0002304147492395714,,0.4429466426372528,0.007191283628344536,1763260307.144576,0.009765625
,248.84203934669495,116224,522.0,0.00023110953043214977,-0.0947953462600708,0.01583614945411682,-0.010162892751395702,1340,0.00023033794423099607,,0.5084787607192993,0.006365778855979443,1763260307.2788744,0.0078125
,249.9322280883789,117120,523.0,0.006876184605062008,0.26825398206710815,-0.014933604747056961,0.014063812792301178,1349,0.00022980030917096883,,0.5142388939857483,0.0026779379695653915,1763260308.3690631,0.0
,251.52878141403198,118528,526.0,338.2497863769531,5.322694778442383e-05,0.002720233052968979,0.0023915981873869896,1363,0.0002289554540766403,,0.5435814261436462,0.0001356927677989006,1763260309.9656165,0.0
,251.83767867088318,118784,526.0,0.0005058011738583446,-0.06696784496307373,0.0021995529532432556,0.007023978978395462,1365,0.00022880184405948967,,0.5713477730751038,0.0008546821773052216,1763260310.2745137,0.0
,252.47935962677002,119296,527.0,0.000151323780301027,0.029027700424194336,-0.00031155720353126526,0.0006433697417378426,1370,0.00022849462402518839,,0.5735670328140259,4.3987296521663666e-05,1763260310.9161947,0.0
,253.68539094924927,120320,529.0,0.00025813266984187067,0.06556522846221924,0.0009317100048065186,-0.005761998705565929,1380,0.00022788018395658582,,0.5738435387611389,0.0010763546451926231,1763260312.122226,0.0
500.0,253.72812581062317,120407,,,,,,1381,,500.0,,,1763260312.1649609,
,254.52154541015625,121088,530.0,0.005530338268727064,0.04056739807128906,0.002154957503080368,0.0018361611291766167,1388,0.0002274193539051339,,0.5340014100074768,0.000194440595805645,1763260312.9583805,0.0
,255.35683798789978,121856,532.0,0.00015721387171652168,-0.045641541481018066,0.0001087188720703125,-0.007370310835540295,1395,0.00022695852385368198,,0.5597827434539795,0.0012496085837483406,1763260313.793673,0.0
,255.7976942062378,122240,532.0,0.00043198352796025574,0.020950615406036377,0.0055861808359622955,0.0037666326388716698,1399,0.00022672810882795602,,0.5711268186569214,0.0014308253303170204,1763260314.2345293,0.009765625
,256.47714400291443,122880,534.0,5.163631431059912e-05,0.1738108992576599,-0.00453886017203331,-0.01683053933084011,1405,0.00022634408378507942,,0.5089769959449768,0.000630691647529602,1763260314.913979,0.0
,260.3209731578827,125568,536.0,0.004973721690475941,0.3523223400115967,-0.006312251091003418,-0.008533618412911892,1432,0.0002247311786049977,,0.5427471995353699,0.0008478527888655663,1763260318.7578082,0.0
,260.53284907341003,125696,536.0,0.0004706285835709423,-0.05833554267883301,0.0023051947355270386,-0.003477119840681553,1433,0.00022465437359642237,,0.5605534911155701,0.002071746625006199,1763260318.9696841,0.0
500.0,264.2562313079834,127907,,,,,,1455,,500.0,,,1763260322.6930664,
,264.47674107551575,128000,537.0,161.40330505371094,0.00011903047561645508,-0.00684501975774765,-0.0025191856548190117,1456,0.0002232718834420666,,0.5067573189735413,0.001140710897743702,1763260322.9135761,0.0
,264.69605565071106,128128,537.0,0.005863800644874573,-0.10691642761230469,0.001238856464624405,-0.005430092103779316,1457,0.0002231950784334913,,0.5570563673973083,0.0003795148804783821,1763260323.1328907,0.0
,273.9035906791687,133888,540.0,0.0002808807184919715,-0.05504763126373291,-0.00395037978887558,0.005959571339190006,1514,0.0002197388675995171,,0.6340040564537048,0.0006578182801604271,1763260332.3404257,0.0
,274.66511392593384,134528,541.0,263.5647888183594,0.00023239850997924805,-0.000560712069272995,-0.001845535822212696,1521,0.0002193548425566405,,0.5948051810264587,4.164036363363266e-05,1763260333.101949,0.0
500.0,275.10747170448303,134940,,,,,,1525,,500.0,,,1763260333.5443068,
,275.4171733856201,135168,542.0,0.004334595985710621,-0.05888485908508301,-0.0023896321654319763,-0.0009428719058632851,1527,0.0002189708175137639,,0.5667852759361267,8.406583219766617e-05,1763260333.8540084,0.0
,275.689980506897,135424,543.0,0.00017002117238007486,-0.3313405513763428,-0.00999898836016655,0.0005436316132545471,1529,0.00021881720749661326,,0.5897233486175537,0.0012441333383321762,1763260334.1268156,0.0
,276.25865626335144,135936,543.0,0.00020660596783272922,-0.0683290958404541,0.0010024458169937134,-0.0019790632650256157,1534,0.00021850998746231198,,0.5616521239280701,0.00046715792268514633,1763260334.6954913,0.0
,276.4248170852661,136064,544.0,0.011300976388156414,6.246566772460938e-05,-0.005642533302307129,0.0077592842280864716,1536,0.00021843318245373666,,0.5326456427574158,0.000906672328710556,1763260334.8616521,0.0
,277.29686975479126,136832,545.0,8.583148155594245e-05,0.0938686728477478,0.0025734156370162964,0.010763832367956638,1543,0.00021797235240228474,,0.5470430254936218,0.00176259595900774,1763260335.7337048,0.0
,277.4733374118805,136960,545.0,396.4611511230469,-7.033348083496094e-06,-0.019401635974645615,-0.005542056635022163,1545,0.00021789554739370942,,0.56974196434021,0.0008859299123287201,1763260335.9101725,0.0
