charts/SPS,losses/clipfrac,charts/episodic_length,losses/approx_kl,_step,losses/value_loss,losses/entropy,charts/learning_rate,losses/old_approx_kl,_runtime,charts/episodic_return,global_step,losses/explained_variance,losses/policy_loss,_timestamp
551.0,0.0,,0.0008659232407808304,1433,0.0034685174468904734,0.5252043604850769,0.00022373271349351853,-0.0012964848428964615,257.4050555229187,,127232,0.38316214084625244,-0.001474437303841114,1763260315.8650875
,,500.0,,1455,,,,,260.83696579933167,500.0,129518,,,1763260319.2969978
552.0,0.0,,0.0006119860336184502,1456,434.1570739746094,0.5150036215782166,0.00022235022333916277,0.01370787713676691,261.0227942466736,,129536,-0.00046539306640625,-0.0004699528217315674,1763260319.4828262
552.0,0.01171875,,0.005012097768485546,1457,0.005249876994639635,0.5535387992858887,0.00022227341833058745,9.238068014383316e-05,261.2233979701996,,129664,0.23569577932357788,-0.039435144513845444,1763260319.68343
,,500.0,,1514,,,,,270.29114866256714,500.0,135518,,,1763260328.7511806
556.0,0.0,,0.0002170410007238388,1521,0.003200076287612319,0.4819141924381256,0.00021835637744516134,0.004076402634382248,271.56049251556396,,136192,0.040986597537994385,0.001267988234758377,1763260330.0205245
556.0,0.0,,0.0008071465417742729,1525,233.7119140625,0.565482497215271,0.00021812596241943538,-0.0009842226281762123,272.167991399765,,136576,-0.00013840198516845703,-0.004317387938499451,1763260330.6280234
556.0,0.009765625,,0.006019041873514652,1527,0.00023086571309249848,0.46829289197921753,0.00021797235240228474,0.027357209473848343,272.518079996109,,136832,0.20455563068389893,-0.036618251353502274,1763260330.978112
,,500.0,,1529,,,,,272.7387192249298,500.0,137018,,,1763260331.1987512
,,500.0,,1534,,,,,273.578102350235,500.0,137518,,,1763260332.0381343
556.0,0.00390625,,0.0016624843701720238,1536,0.005885364953428507,0.559597373008728,0.0002174347173422575,-0.00859850738197565,273.95704221725464,,137728,-0.024663567543029785,-0.008827922865748405,1763260332.4170742
558.0,0.0,,0.002450214698910713,1543,0.00022419514425564557,0.5072705745697021,0.00021697388729080558,0.020068546757102013,274.8022379875183,,138496,-0.057741761207580566,0.0012223981320858002,1763260333.26227
558.0,0.0,,0.0007696226239204407,1545,343.5918884277344,0.47231757640838623,0.00021689708228223026,-0.0021692048758268356,274.9793019294739,,138624,-6.937980651855469e-05,0.0037958770990371704,1763260333.439334
558.0,0.0,,5.1244162023067474e-05,1546,0.004350315313786268,0.5377709269523621,0.00021682027727365494,-0.0005802391096949577,275.12685108184814,,138752,-0.04432797431945801,0.00035125017166137695,1763260333.586883
,,500.0,,1558,,,,,276.5480606555939,500.0,140018,,,1763260335.0080926
560.0,0.0,,0.00019042566418647766,1559,316.1746826171875,0.5117597579956055,0.00021605222718790174,-0.0004997067153453827,276.6512007713318,,140032,-1.9669532775878906e-05,-0.001110527664422989,1763260335.1112328
,,500.0,,1563,,,,,277.1035084724426,500.0,140518,,,1763260335.5635405
561.0,0.0,,0.001704399473965168,1566,0.0002715017180889845,0.5058370232582092,0.00021559139713644981,-0.005178776569664478,277.5222554206848,,140800,-0.19716763496398926,-0.005584262311458588,1763260335.9822874
,,500.0,,1588,,,,,280.0089418888092,500.0,143018,,,1763260338.4689739
564.0,0.0,,0.0005291998386383057,1589,101.3533935546875,0.5254778861999512,0.00021420890698209405,-0.011808978393673897,280.1323232650757,,143104,-4.947185516357422e-05,-0.002995714545249939,1763260338.5923553
565.0,0.0,,0.0010390551760792732,1597,0.0002795604523271322,0.5329276323318481,0.0002136712719220668,-0.0027673346921801567,281.4237940311432,,144000,-0.05584824085235596,-0.002367846667766571,1763260339.883826
,,500.0,,1607,,,,,282.9469621181488,500.0,145018,,,1763260341.406994
565.0,0.0,,3.584008663892746e-05,1609,0.0037964952643960714,0.5262866616249084,0.00021298002684488893,-0.0015339134261012077,283.302592754364,,145152,0.019550681114196777,-0.0014704391360282898,1763260341.7626247
565.0,0.0,,0.00034917891025543213,1610,0.0004181087133474648,0.471152663230896,0.0002129032218363136,-0.0034711919724941254,283.5113773345947,,145280,0.06334137916564941,0.002858862280845642,1763260341.9714093
,,500.0,,1612,,,,,283.7824819087982,500.0,145518,,,1763260342.242514
565.0,0.0,,0.0007854923605918884,1626,0.00013147965364623815,0.5440291166305542,0.00021190475672483444,-0.005856640636920929,286.3051519393921,,146944,0.15496021509170532,-0.011361919343471527,1763260344.765184
565.0,0.0,,0.0009537981823086739,1638,376.8876647949219,0.53028404712677,0.00021121351164765656,0.009746496565639973,288.3700261116028,,148096,-6.580352783203125e-05,0.00787229835987091,1763260346.830058
570.0,0.0,,0.0006370879709720612,1687,685.6278076171875,0.4927970767021179,0.0002082181308651343,-0.010358598083257675,294.88681268692017,,153088,-7.212162017822266e-05,-0.006129320710897446,1763260353.3468447
