_timestamp,charts/learning_rate,charts/episodic_return,losses/clipfrac,losses/approx_kl,_runtime,losses/entropy,charts/episodic_length,global_step,losses/value_loss,charts/SPS,_step,losses/explained_variance,losses/policy_loss,losses/old_approx_kl
1763260521.5440361,7.265745080076158e-05,,0.03515625,0.004269344732165337,461.31357312202454,0.19570043683052063,,379008,0.13908854126930237,834.0,4290,0.06628167629241943,-0.0036368947476148605,-0.0032472237944602966
1763260521.748941,7.250384078361094e-05,,0.0911458358168602,0.032437749207019806,461.51847791671753,0.29243406653404236,,379264,0.0013590414309874177,834.0,4292,0.9898604154586792,-0.05823462828993797,0.09117482602596283
1763260523.697901,7.11981556378305e-05,,0.103515625,0.01263108104467392,463.4674379825592,0.23911988735198975,,381440,0.0006309095770120621,836.0,4314,0.9867680072784424,0.0003574639558792114,0.002940662205219269
1763260524.030971,7.096774061210454e-05,,0.015625,0.005178540945053101,463.80050802230835,0.27390536665916443,,381824,0.0008353192824870348,836.0,4318,0.9936619997024536,-0.026153355836868286,0.01100870594382286
1763260526.4414763,6.935483543202281e-05,,0.0,0.0013003693893551826,466.21101331710815,0.24788394570350647,,384512,0.05502009764313698,837.0,4346,0.030552804470062256,-0.0002364031970500946,0.01821819320321083
1763260528.2984033,6.81259625707753e-05,,0.0390625,0.004919087514281273,468.06794023513794,0.13941213488578796,,386560,32.43396759033203,838.0,4366,0.13987839221954346,-0.036785513162612915,-0.007334593683481216
1763260528.8957825,6.77419375278987e-05,,0.0,0.00027625076472759247,468.665319442749,0.23680537939071655,,387200,0.0005110669881105423,839.0,4372,0.9990707039833069,-0.002614211291074753,-0.002366127446293831
1763260529.3393471,6.743471749359742e-05,,0.01171875,0.005141953006386757,469.10888409614563,0.241050586104393,,387712,0.0018269489519298077,839.0,4377,0.9985020756721497,-0.026126425713300705,0.031967196613550186
1763260529.449079,6.73579124850221e-05,,0.09375,0.027984144166111946,469.21861600875854,0.21282561123371124,,387840,0.0011831498704850674,839.0,4378,0.9852803349494934,-0.04117170348763466,0.06339345127344131
1763260530.264597,6.682027742499486e-05,,0.07421875,0.019113045185804367,470.0341339111328,0.1624750792980194,,388736,0.0011601729784160852,840.0,4387,0.9981650114059448,-0.010403934866189957,0.06880100071430206
