losses/old_approx_kl,global_step,charts/learning_rate,losses/clipfrac,_timestamp,losses/policy_loss,_step,charts/SPS,charts/episodic_return,_runtime,losses/value_loss,charts/episodic_length,losses/explained_variance,losses/entropy,losses/approx_kl
0.00040425918996334076,145408,0.00021282641682773829,0.0,1763260284.0382953,-0.009877461940050125,1687,613.0,,262.8983702659607,182.5347442626953,,0.0005035400390625,0.47998151183128357,0.0008433368057012558
-0.00126743596047163,150016,0.00021006145107094198,0.0,1763260289.175175,0.012257963418960571,1732,619.0,,268.0352499485016,228.10479736328125,,0.0009161829948425293,0.4812851846218109,0.00021511223167181015
,151394,,,1763260290.7605066,,1745,,500.0,269.6205816268921,,500.0,,,
0.017167046666145325,152192,0.00020875576592516154,0.0078125,1763260292.2005274,-0.005543671548366547,1753,621.0,,271.06060242652893,0.0004241001734044403,,-0.8408652544021606,0.5136958956718445,0.0019303932785987854
-0.00443444587290287,152320,0.00020867896091658622,0.001953125,1763260292.3901517,-0.021786313503980637,1754,621.0,,271.2502267360687,0.00015188378165476024,,-0.24040734767913818,0.5288494229316711,0.004773627035319805
,153394,,,1763260294.114273,,1765,,500.0,272.9743480682373,,500.0,,,
-0.0063691521063447,153728,0.0002078341058222577,0.001953125,1763260294.660705,0.00026467442512512207,1768,621.0,,273.52078008651733,0.0002428725128993392,,0.17690974473953247,0.5006889700889587,0.003583231009542942
-0.003139480948448181,154624,0.00020729647076223046,0.001953125,1763260296.1304657,-0.0032628625631332397,1777,621.0,,274.99054074287415,0.00498834066092968,,-0.1528400182723999,0.5052502155303955,0.0009645763784646988
-0.003020772710442543,158848,0.0002047619054792449,0.001953125,1763260302.6104615,-0.005770327523350716,1818,621.0,,281.4705364704132,4.4500327931018546e-05,,-0.03171849250793457,0.4957244396209717,0.003542620688676834
0.012085942551493645,159360,0.0002044546854449436,0.0,1763260303.1373715,0.00945386290550232,1823,622.0,,281.9974465370178,4.8833098844625056e-05,,0.17276132106781006,0.5546517968177795,0.0011381059885025024
-0.033920105546712875,162176,0.00020276497525628656,0.005859375,1763260306.3675895,-0.025011885911226273,1851,625.0,,285.2276644706726,5.952786159468815e-05,,-1.423520803451538,0.45167142152786255,0.0032771555706858635
