charts/episodic_return,charts/episodic_length,_step,losses/explained_variance,charts/SPS,losses/clipfrac,charts/learning_rate,losses/old_approx_kl,losses/policy_loss,losses/value_loss,_runtime,global_step,losses/entropy,losses/approx_kl,_timestamp
,,1566,-0.053281545639038086,615.0,0.0,0.00021682027727365494,-0.005484335124492645,0.004559684544801712,0.009904188103973866,251.07850217819214,138752,0.49211567640304565,0.0010756421834230423,1763260272.122157
500.0,500.0,1588,,,,,,,,253.94065165519714,141016,,,1763260274.9843066
,,1589,9.948015213012695e-05,617.0,0.001953125,0.00021543778711929917,0.001346016302704811,-0.0026037953794002533,114.56034088134766,254.1357924938202,141056,0.4902561902999878,0.0015815813094377518,1763260275.1794474
,,1597,0.15310806035995483,617.0,0.005859375,0.00021490015205927193,-0.005432683043181896,-0.0006708987057209015,0.00022154739417601377,255.64179158210754,141952,0.5119125247001648,0.0025626877322793007,1763260276.6854465
,,1607,0.12579751014709473,616.0,0.001953125,0.00021428571199066937,0.017955901101231575,-0.02012273669242859,0.0002000405511353165,257.424880027771,142976,0.4759206771850586,0.0029769400134682655,1763260278.468535
,,1609,-6.127357482910156e-05,616.0,0.0,0.00021420890698209405,-0.0019568735733628273,-0.00618763267993927,240.84378051757812,257.67186307907104,143104,0.5258746147155762,0.001050061546266079,1763260278.715518
,,1610,0.0164492130279541,616.0,0.015625,0.00021413210197351873,0.036925800144672394,-0.013067018240690231,0.011903977021574974,257.85098218917847,143232,0.4672577679157257,0.005128170363605022,1763260278.894637
,,1612,-0.060645222663879395,616.0,0.0,0.0002139784919563681,0.0017948122695088387,0.0038370639085769653,5.468588642543182e-05,258.2545611858368,143488,0.5066443085670471,0.0009816894307732582,1763260279.298216
,,1626,-0.1287299394607544,616.0,0.0078125,0.00021313363686203957,0.010034607723355293,0.03219003230333328,0.00020377289911266416,260.5469994544983,144896,0.46660083532333374,0.004318615421652794,1763260281.5906544
,,1638,1.2755393981933594e-05,617.0,0.0,0.00021244239178486168,0.0024815471842885017,0.0026108771562576294,340.1160888671875,262.3613135814667,146048,0.5088018774986267,0.000996987335383892,1763260283.4049685
,,1687,0.059959590435028076,622.0,0.0,0.0002093702059937641,0.000355549156665802,-0.02864615060389042,0.00899253785610199,268.3381576538086,151168,0.5269020199775696,0.003338869661092758,1763260289.3818126
,,1732,-0.23025202751159668,624.0,0.015625,0.00020660522568505257,0.0027005914598703384,0.022926922887563705,0.00019960361532866955,275.30014729499817,155776,0.49477657675743103,0.006124383769929409,1763260296.3438022
