losses/explained_variance,charts/episodic_return,global_step,charts/learning_rate,_step,losses/policy_loss,_runtime,losses/entropy,losses/old_approx_kl,losses/clipfrac,losses/value_loss,charts/episodic_length,charts/SPS,_timestamp,losses/approx_kl
-9.691715240478516e-05,,122880,0.00022634408378507942,2027,0.0026161037385463715,158.2785723209381,0.21397843956947327,0.015713924542069435,0.01953125,142.95701599121094,,788.0,1763260200.4466484,0.00479254312813282
-0.006181120872497559,,123648,0.0002258832537336275,2034,0.014401711523532867,159.76700711250305,0.2461898922920227,0.0041890572756528854,0.001953125,0.00013228150783106685,,785.0,1763260201.9350832,0.002247818745672703
-0.0012613534927368164,,124800,0.00022519200865644962,2045,0.010428383946418762,161.92552876472473,0.2350475937128067,-0.03444293886423111,0.05859375,1.6222684280364774e-06,,782.0,1763260204.0936048,0.011256922036409378
,500.0,125341,,2051,,162.9691059589386,,,,,500.0,,1763260205.137182,
,500.0,127341,,2070,,166.68530941009521,,,,,500.0,,1763260208.8533854,
-9.489059448242188e-05,,127872,0.00022334868845064193,2076,0.010919559746980667,167.88912296295166,0.196041077375412,-0.0320877805352211,0.083984375,0.014722974970936775,,772.0,1763260210.057199,0.008251451887190342
-0.0035712718963623047,,129664,0.00022227341833058745,2093,-0.0027314573526382446,171.29806447029114,0.25266149640083313,0.004289248026907444,0.015625,0.0001399237080477178,,767.0,1763260213.4661405,0.003776152618229389
-0.0013486146926879883,,129792,0.00022219661332201213,2094,-0.026954293251037598,171.55138421058655,0.28826865553855896,-0.09700164198875427,0.1380208283662796,0.0001445033703930676,,767.0,1763260213.7194602,0.045584775507450104
-0.009730100631713867,,132096,0.0002208141377195716,2117,-0.004336826503276825,175.94747638702393,0.27118709683418274,-0.025838395580649376,0.171875,1.7858928913483396e-05,,761.0,1763260218.1155524,0.036363497376441956
0.006698012351989746,,135040,0.00021904762252233922,2146,-0.03337717801332474,181.48727345466614,0.2432049661874771,0.018391506746411324,0.02734375,0.0007793043623678386,,754.0,1763260223.6553495,0.004998582415282726
-0.0005496740341186523,,135296,0.00021889401250518858,2148,0.005779683589935303,181.9539725780487,0.22829356789588928,-0.05056602507829666,0.126953125,2.342619154660497e-06,,753.0,1763260224.1220486,0.12703120708465576
-6.80685043334961e-05,,135936,0.00021850998746231198,2155,-0.00020070374011993408,183.24220657348633,0.1977645307779312,-9.820982813835144e-05,0.009765625,0.013312676921486855,,751.0,1763260225.4102826,0.0008001793175935745
-0.000518798828125,,137728,0.0002174347173422575,2172,0.0016925390809774399,186.72071409225464,0.24286474287509918,-0.0032621975988149643,0.009765625,1.0147334251087159e-05,,747.0,1763260228.8887901,0.0047585684806108475
0.18958443403244019,,139008,0.0002166666672565043,2185,0.00811484083533287,189.21039462089539,0.2584608197212219,0.015272571705281734,0.005859375,0.002289080759510398,,744.0,1763260231.3784707,0.00190828088670969
0.00025153160095214844,,139776,0.00021620583720505238,2192,-0.011013248935341835,190.69337058067322,0.21250970661640167,-0.0024359356611967087,0.0078125,2.511780257918872e-05,,742.0,1763260232.8614466,0.0011415891349315643
-4.744529724121094e-05,,140416,0.00021582181216217577,2199,-0.005754612386226654,191.98112273216248,0.16017569601535797,0.004405719228088856,0.009765625,0.006375109311193228,,740.0,1763260234.1491988,0.0020533548668026924
-0.0005788803100585938,,141696,0.00021505376207642257,2211,0.1362331658601761,194.4232897758484,0.28019198775291443,-0.0058510927483439445,0.146484375,4.537834684015252e-05,,737.0,1763260236.5913658,0.03072774037718773
-9.691715240478516e-05,,141952,0.00021490015205927193,2214,-0.0003149788826704025,194.9586787223816,0.1932661086320877,-0.0026854705065488815,0.013671875,0.2153535932302475,,737.0,1763260237.1267548,0.00349639356136322
