losses/clipfrac,charts/episodic_return,_timestamp,charts/learning_rate,losses/old_approx_kl,_runtime,global_step,_step,losses/value_loss,losses/explained_variance,charts/SPS,losses/entropy,losses/approx_kl,losses/policy_loss,charts/episodic_length
0.0,,1763260393.7479618,0.00019385560881346464,-0.0008542295545339584,335.2674067020416,177024,1991,0.00023139378754422069,0.008226573467254639,572.0,0.5325397849082947,0.0001350976526737213,0.0002795439213514328,
,500.0,1763260394.9301443,,,336.4495892524719,178049,2002,,,,,,,500.0
0.0,,1763260395.7358685,0.0001929339487105608,0.012799493968486786,337.25531339645386,178560,2007,126.71290588378906,-5.829334259033203e-05,574.0,0.5612978935241699,0.0008742809295654297,-0.0008613429963588715,
,500.0,1763260397.245765,,,338.7652099132538,179549,2016,,,,,,,500.0
0.0,,1763260397.800728,0.0001921658986248076,0.002777925692498684,339.3201730251312,179840,2019,0.000193238360225223,0.03901129961013794,574.0,0.49104249477386475,0.0004818988963961601,0.00910393800586462,
0.0,,1763260398.6707342,0.00019185867859050632,-0.00018279533833265305,340.19017910957336,180352,2024,0.0005678430898115039,-0.174330472946167,574.0,0.5316112041473389,0.0005880678072571754,-0.005026083439588547,
0.0,,1763260399.1580849,0.00019170506857335567,-0.0013146083801984787,340.67752981185913,180608,2027,600.4164428710938,9.554624557495117e-05,574.0,0.5430362224578857,0.00045900605618953705,-0.0025810562074184418,
0.0,,1763260399.5220716,0.00019155145855620503,0.0025563519448041916,341.0415165424347,180864,2029,0.00019513783627189696,-0.055516958236694336,574.0,0.5080910921096802,0.00012589991092681885,-0.003985054790973663,
0.001953125,,1763260400.393628,0.00019124423852190375,-0.023204661905765533,341.91307282447815,181376,2034,0.00019360761507414281,0.2149375081062317,574.0,0.5289967060089111,0.0023308685049414635,-0.021343015134334564,
0.0,,1763260402.3347507,0.00019055299344472587,0.00456350389868021,343.8541955947876,182528,2045,0.00016405463975388557,-0.01612710952758789,574.0,0.6020482182502747,0.0005853110924363136,-0.0003544539213180542,
,500.0,1763260403.2774298,,,344.7968747615814,183049,2051,,,,,,,500.0
0.0,,1763260403.4998627,0.00019016896840184927,-0.0023899320513010025,345.0193076133728,183168,2052,135.50555419921875,-7.915496826171875e-05,574.0,0.5730569362640381,0.00010396726429462433,-0.002896195277571678,
