losses/clipfrac,losses/approx_kl,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,charts/SPS,losses/value_loss,_runtime,charts/learning_rate,charts/episodic_length,charts/episodic_return,_step,global_step,losses/entropy,_timestamp
0.0,0.0004550088196992874,0.00335124135017395,-0.0062432363629341125,-0.5280551910400391,1084.0,0.004709228407591581,137.13524770736694,0.00022872503905091435,,,1388,118912,0.507355272769928,1763260222.4896276
0.0,0.0006606234237551689,-0.0014737620949745178,-0.0017831334844231606,0.06040763854980469,1084.0,0.0002580384025350213,137.8415026664734,0.00022826420899946243,,,1395,119680,0.48331278562545776,1763260223.1958826
0.0078125,0.005272213369607925,-0.023337552323937416,0.04027850553393364,-0.08416581153869629,1084.0,0.0007036165334284306,138.17854571342468,0.00022803379397373646,,,1399,120064,0.44449716806411743,1763260223.5329256
0.0,0.0001309700310230255,-0.0002685021609067917,0.0025435183197259903,-0.3040752410888672,1084.0,0.00016530307766515762,138.78992199897766,0.00022764976893085986,,,1405,120704,0.44985881447792053,1763260224.144302
0.0,0.001991574652493,0.0008015409111976624,0.010953214950859547,-0.23674404621124268,1084.0,0.008649184368550777,141.20330810546875,0.00022603686375077814,,,1432,123392,0.5443762540817261,1763260226.557688
0.0,0.0004462525248527527,-0.0014163833111524582,-0.00019391626119613647,-0.145585298538208,1084.0,0.0002717315510381013,141.31239223480225,0.00022596005874220282,,,1433,123520,0.5756192207336426,1763260226.6667721
,,,,,,,143.2862091064453,,500.0,500.0,1455,125721,,1763260228.640589
0.0,0.00046429596841335297,0.008158598095178604,0.00125042162835598,0.00010693073272705078,1085.0,356.9367370605469,143.38879108428955,0.00022457756858784705,,,1456,125824,0.5077049732208252,1763260228.743171
0.0,0.00023994315415620804,-0.0028287842869758606,0.0033689001575112343,-0.10942494869232178,1085.0,0.005088559351861477,143.49822163581848,0.00022450076357927173,,,1457,125952,0.4908161759376526,1763260228.8526015
,,,,,,,148.69775938987732,,500.0,500.0,1514,131721,,1763260234.0521393
0.0,0.0018871678039431572,-0.026164911687374115,-0.010052799247205257,-0.30010688304901123,1086.0,0.0003378161636646837,149.39035558700562,0.00022058372269384563,,,1521,132480,0.47962042689323425,1763260234.7447355
0.0,0.0004582740366458893,0.010158300399780273,-0.0024168062955141068,0.2013019323348999,1086.0,0.00527612492442131,149.722975730896,0.00022035330766811967,,,1525,132864,0.48746854066848755,1763260235.0773556
0.0,0.00041419360786676407,0.005005316808819771,-0.013789034448564053,0.07882702350616455,1086.0,0.00023823294031899422,149.94513058662415,0.00022019969765096903,,,1527,133120,0.42126476764678955,1763260235.2995105
