losses/entropy,losses/explained_variance,losses/value_loss,losses/clipfrac,_runtime,charts/SPS,losses/policy_loss,_timestamp,losses/old_approx_kl,charts/episodic_length,charts/episodic_return,losses/approx_kl,_step,global_step,charts/learning_rate
0.4848252534866333,-1.0953559875488281,0.00902582611888647,0.0,287.2972102165222,1085.0,2.2416934370994568e-06,1763260372.4978693,-0.00617658905684948,,,0.0009904447942972183,2989,281856,0.0001309523795498535
,,,,287.97985315322876,,,1763260373.1805122,,500.0,500.0,,2997,282655,
,,,,289.32636404037476,,,1763260374.527023,,500.0,500.0,,3011,284155,
,,,,292.9846360683441,,,1763260378.185295,,500.0,500.0,,3051,288155,
0.467121958732605,-0.2954789400100708,0.008710555732250214,0.0,293.19618916511536,1085.0,-0.004280544817447662,1763260378.3968482,0.005640154704451561,,,0.0012249760329723358,3053,288384,0.00012703532411251217
0.48234841227531433,-6.282329559326172e-05,353.2449035644531,0.0,294.41080260276794,1085.0,-0.00018733367323875427,1763260379.6114616,0.0018502762541174889,,,6.588641554117203e-05,3066,289664,0.00012626727402675897
,,,,294.77946424484253,,,1763260379.9801233,,500.0,500.0,,3070,290155,
0.5135912895202637,-0.02305757999420166,0.0009108716621994972,0.0,296.0065140724182,1085.0,0.001688491553068161,1763260381.207173,0.0010179663076996803,,,0.00020034890621900558,3083,291456,0.00012519201845861971
0.5239217877388,-0.131982684135437,0.0010289718629792333,0.005859375,297.38648295402527,1086.0,-0.0014298781752586365,1763260382.587142,0.001592547632753849,,,0.0037514064460992813,3098,292992,0.00012427035835571587
0.48142775893211365,0.14668214321136475,0.0017658761935308576,0.0,297.86950635910034,1085.0,-0.002835482358932495,1763260383.0701654,0.0008559888228774071,,,0.0001543862745165825,3103,293504,0.0001239631383214146
0.40457725524902344,-0.2591809034347534,0.0028669144958257675,0.03515625,300.08902168273926,1086.0,-0.0016049426048994064,1763260385.2896807,-0.009346043691039085,,,0.007368856109678745,3127,295936,0.0001225038431584835
,,,,300.24216055870056,,,1763260385.4428196,,500.0,500.0,,3129,296155,
0.42980486154556274,-1.0557997226715088,0.011752359569072723,0.0,301.36693835258484,1086.0,-0.001989692449569702,1763260386.5675974,0.01235140860080719,,,0.0012153424322605133,3141,297344,0.00012165898806415498
0.555079996585846,-0.0089033842086792,0.001415288308635354,0.0,301.58935165405273,1086.0,-0.0018107704818248749,1763260386.7900107,0.003345297649502754,,,0.0002543944865465164,3143,297600,0.00012150537804700434
0.4872224032878876,-0.5580441951751709,0.009408405981957912,0.001953125,301.84896898269653,1086.0,-0.009940534830093384,1763260387.049628,0.007651765830814838,,,0.0017815334722399712,3146,297856,0.0001213517680298537
0.4544067978858948,-0.28018617630004883,0.006930984556674957,0.001953125,303.22182297706604,1086.0,-0.011079125106334686,1763260388.422482,0.00031129736453294754,,,0.0013065105304121971,3161,299392,0.00012043010792694986
0.4258570373058319,-2.0451462268829346,0.008070185780525208,0.0,304.04052114486694,1086.0,-0.0023021399974823,1763260389.2411802,-0.01273952703922987,,,0.00032312143594026566,3170,300288,0.00011989247286692262
,,,,305.2644612789154,,,1763260390.4651203,,500.0,500.0,,3183,301655,
,,,,305.7077076435089,,,1763260390.9083667,,500.0,500.0,,3188,302155,
0.5506200790405273,-0.12532567977905273,0.0007927849073894322,0.0,308.5131516456604,1086.0,-0.010436072945594788,1763260393.7138107,0.0018881233409047127,,,0.0015024477615952492,3217,305152,0.00011697388981701806
0.4347694516181946,-0.7387421131134033,0.008076914586126804,0.0,309.1092426776886,1086.0,0.00457361526787281,1763260394.3099017,-0.004045203328132629,,,0.000524032860994339,3224,305792,0.00011658986477414146
0.4911358654499054,-0.0028831958770751953,455.36993408203125,0.0,311.18319392204285,1086.0,-0.002035781741142273,1763260396.383853,0.0008701728656888008,,,0.00016160588711500168,3247,308096,0.0001152073746197857
0.46166208386421204,0.03335946798324585,0.0009488216019235551,0.0,311.51947259902954,1086.0,0.00698639452457428,1763260396.7201316,-0.002336634323000908,,,0.0013942066580057144,3250,308480,0.00011497695959405974
0.5190359950065613,-0.000385284423828125,672.52880859375,0.0,311.63432478904724,1086.0,-0.005864111706614494,1763260396.8349838,-0.003944430500268936,,,0.0005624610930681229,3252,308608,0.00011490015458548442
0.4596717357635498,-0.3348010778427124,0.0009457855485379696,0.001953125,311.96729159355164,1086.0,-0.008064661175012589,1763260397.1679506,-0.003271183930337429,,,0.0011632638052105904,3255,308992,0.00011466973955975845
0.4553665518760681,-0.11920058727264404,0.0008931203628890216,0.009765625,312.33502769470215,1086.0,-0.018300317227840424,1763260397.5356867,-0.004925752989947796,,,0.003085763193666935,3259,309376,0.0001144393245340325
