losses/clipfrac,losses/explained_variance,_timestamp,global_step,charts/episodic_return,losses/entropy,charts/SPS,losses/approx_kl,charts/learning_rate,charts/episodic_length,_step,losses/old_approx_kl,losses/value_loss,losses/policy_loss,_runtime
0.0,-0.00021028518676757812,1763260384.9065287,299776,,0.5810797214508057,1101.0,0.0002919379621744156,0.0001201996929012239,,3170,0.0034262780100107193,403.02911376953125,0.0014580115675926208,299.7457616329193
0.0,-0.2916959524154663,1763260386.1774633,301184,,0.509905993938446,1101.0,7.882900536060333e-05,0.00011935483780689538,,3183,-0.0010035708546638489,0.00020013636094518006,-0.003268912434577942,301.0166962146759
0.0,-0.12994730472564697,1763260386.6206686,301696,,0.5217370986938477,1101.0,0.0006985673680901527,0.0001190476177725941,,3188,0.003920045681297779,0.00016563462850172073,-0.012839220464229584,301.4599015712738
0.0,-0.04579365253448486,1763260389.291789,304640,,0.5751800537109375,1101.0,0.00034761056303977966,0.00011728110257536173,,3217,-0.0004274025559425354,0.00016012384730856866,0.004140520468354225,304.13102197647095
0.0,-0.0003178119659423828,1763260389.850372,305280,,0.5606536865234375,1101.0,2.3060478270053864e-05,0.00011689708480844274,,3224,0.0005758898332715034,424.090087890625,-0.0002980455756187439,304.6896049976349
,,1763260391.9645796,307704,500.0,,,,,500.0,3247,,,,306.8038125038147
0.0,-0.08739078044891357,1763260392.2917767,307968,,0.5888136625289917,1101.0,3.816187381744385e-05,0.00011528417962836102,,3250,-0.0006144866347312927,0.00014827439736109227,0.0019344612956047058,307.13100957870483
,,1763260392.4399428,308204,500.0,,,,,500.0,3252,,,,307.2791757583618
0.0,-0.002202630043029785,1763260392.7384562,308480,,0.5743587017059326,1101.0,7.274281233549118e-05,0.00011497695959405974,,3255,0.004480085335671902,0.00015075854025781155,-0.0007045865058898926,307.5776891708374
0.0,-0.09755921363830566,1763260393.071894,308864,,0.5744866132736206,1102.0,0.000501047819852829,0.00011474654456833377,,3259,-0.0016281995922327042,0.0023296058643609285,-0.004102163016796112,307.9111268520355
,,1763260394.2413976,310204,500.0,,,,,500.0,3272,,,,309.0806305408478
0.0,-0.008342385292053223,1763260394.5876706,310528,,0.5459371209144592,1102.0,5.637574940919876e-05,0.00011374807945685461,,3275,-0.0007434459403157234,0.0002612784446682781,-0.0014860071241855621,309.42690348625183
0.0,0.03128749132156372,1763260394.6996424,310656,,0.6024191379547119,1102.0,0.0007555382326245308,0.00011367127444827929,,3276,0.0056488001719117165,0.0001897569018183276,0.002269245684146881,309.5388753414154
0.0,4.887580871582031e-06,1763260396.5433867,312704,500.0,0.5927315950393677,1102.0,2.0444393157958984e-05,0.00011244239431107417,500.0,3296,0.0004427693784236908,349.47259521484375,0.0019010677933692932,311.3826196193695
0.0,-0.01977670192718506,1763260396.876531,313088,,0.5835594534873962,1102.0,0.0001588938757777214,0.0001122119792853482,,3299,-0.00015776138752698898,0.0002006199792958796,0.0029892921447753906,311.71576380729675
0.0,0.14429491758346558,1763260400.4315653,317056,,0.5281806588172913,1102.0,0.0003366153687238693,0.0001098310312954709,,3338,-0.00387454591691494,0.0002590064541436732,-0.005273837596178055,315.27079820632935
0.0,-0.0812075138092041,1763260401.60412,318336,,0.5270914435386658,1102.0,9.300187230110168e-06,0.00010906298120971769,,3351,-0.000982837751507759,0.00034769807825796306,0.00042076781392097473,316.44335293769836
0.0,-0.01028585433959961,1763260402.1764133,318976,,0.5024126768112183,1102.0,0.00010133255273103714,0.00010867895616684109,,3357,0.0007920479401946068,0.0001981128443730995,0.00020267441868782043,317.01564621925354
0.0,0.04623454809188843,1763260402.3978944,319232,,0.4686104655265808,1102.0,7.118843495845795e-05,0.00010852534614969045,,3360,-0.0002067871391773224,0.0009757246007211506,-0.00010775402188301086,317.23712730407715
0.0,-7.11679458618164e-05,1763260405.905419,323072,,0.4651201367378235,1102.0,1.0347925126552582e-05,0.00010622119589243084,,3398,0.0005659600719809532,346.3299865722656,0.0009999051690101624,320.7446520328522
0.0,0.007430374622344971,1763260406.2345417,323456,,0.49791669845581055,1102.0,4.960596561431885e-05,0.00010599078086670488,,3401,-0.001425720751285553,0.00023433311434928328,-0.003036567009985447,321.07377457618713
0.0,-0.04421830177307129,1763260406.6789277,323968,,0.49873751401901245,1102.0,7.681641727685928e-05,0.0001056835608324036,,3406,0.004962011240422726,0.00018680623907130212,0.002127721905708313,321.51816058158875
,,1763260406.684661,323978,500.0,,,,,500.0,3407,,,,321.5238938331604
0.0,-0.3912224769592285,1763260407.8277218,325248,,0.4653371572494507,1102.0,0.00017343740910291672,0.00010491551802260801,,3419,0.002872115932404995,0.00033030560007318854,-0.001081947237253189,322.6669547557831
,,1763260408.449734,325978,500.0,,,,,500.0,3426,,,,323.2889668941498
0.0,-0.1003943681716919,1763260408.6429422,326144,,0.4560384154319763,1102.0,0.0003961380571126938,0.00010437788296258077,,3428,-0.003935225307941437,0.0037535896990448236,-0.005571272224187851,323.48217511177063
0.0,0.062210917472839355,1763260409.3484175,326912,,0.5261111259460449,1102.0,0.0005682474002242088,0.00010391705291112885,,3435,-0.005723717622458935,0.0002009638847084716,-0.0017299987375736237,324.1876504421234
0.0,-0.05795764923095703,1763260410.7227614,328448,,0.4883343279361725,1102.0,3.995932638645172e-05,0.000102995392808225,,3450,0.002894079312682152,0.00019187899306416512,-0.0031048282980918884,325.5619943141937
,,1763260410.7355437,328478,500.0,,,,,500.0,3451,,,,325.5747766494751
0.0,-2.8133392333984375e-05,1763260411.7598205,329600,,0.5438038110733032,1102.0,2.9122456908226013e-06,0.00010230414773104712,,3462,3.550481051206589e-05,377.5561218261719,1.4778226613998413e-05,326.59905338287354
0.0,2.3484230041503906e-05,1763260413.017107,331008,,0.5263152122497559,1102.0,9.729526937007904e-06,0.0001014592926367186,,3476,0.0016997558996081352,392.196044921875,-0.0009875595569610596,327.85633993148804
0.0,0.6842079162597656,1763260413.3784573,331392,,0.5253852009773254,1102.0,0.0005992846563458443,0.00010122887761099264,,3479,0.005637290887534618,0.00041845106170512736,0.0021011903882026672,328.2176902294159
0.0,-0.06532776355743408,1763260415.0768402,333312,,0.49833589792251587,1102.0,2.711080014705658e-05,0.00010007680248236284,,3498,-0.0010760780423879623,0.0002687381347641349,-0.000650554895401001,329.91607308387756
0.0,0.014954030513763428,1763260415.556231,333824,,0.5397122502326965,1102.0,0.0005012908950448036,9.976958244806156e-05,,3503,0.0034458348527550697,0.0002721680502872914,-0.002039119601249695,330.39546394348145
0.0,0.19831538200378418,1763260416.4839096,334848,,0.48152273893356323,1102.0,4.848465323448181e-05,9.9155142379459e-05,,3513,-0.001276625320315361,0.00017979956464841962,0.0015682727098464966,331.32314252853394
0.0,-3.314018249511719e-05,1763260417.5198038,336000,,0.5489274263381958,1102.0,0.00046401843428611755,9.846390457823873e-05,,3525,0.00919211283326149,624.924560546875,0.0014662966132164001,332.35903668403625
0.0,-0.07578921318054199,1763260418.6628199,337280,,0.4828452169895172,1102.0,0.00035270117223262787,9.769585449248552e-05,,3537,0.0009504873305559158,0.0002554953098297119,-0.016266854479908943,333.50205278396606
,,1763260420.158818,338978,500.0,,,,,500.0,3554,,,,334.99805092811584
0.0,-3.4809112548828125e-05,1763260420.2576897,339072,,0.4854450821876526,1102.0,0.0003038346767425537,9.662058437243104e-05,,3555,0.0008979681879281998,251.08619689941406,-0.001916244626045227,335.0969226360321
