_timestamp,losses/policy_loss,losses/value_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_length,losses/entropy,losses/clipfrac,_step,losses/explained_variance,global_step,charts/SPS,_runtime,charts/learning_rate,charts/episodic_return
1763260524.213035,-0.010036095976829529,0.005143964197486639,0.0013206889852881432,-0.002272789366543293,,0.515764057636261,0.0,2757,-0.14527809619903564,251264,620.0,433.2764890193939,0.00014930876204743981,
1763260525.8686569,0.0009803236462175846,0.00416202936321497,7.722713053226471e-05,0.0035103987902402878,,0.5107389092445374,0.0,2772,0.1338370442390442,252800,621.0,434.932110786438,0.00014838710194453597,
1763260526.9677415,-0.0007362291216850281,0.0028381363954395056,5.790777504444122e-05,-0.002763800323009491,,0.5560117959976196,0.0,2782,-0.34876012802124023,253824,622.0,436.0311954021454,0.0001477726618759334,
1763260527.1063921,-0.00015047378838062286,0.0005458044470287859,0.00022670160979032516,0.003538980148732662,,0.5290554761886597,0.0,2783,-1.1386957168579102,253952,622.0,436.16984605789185,0.0001476958568673581,
1763260528.244899,0.002323206514120102,0.0003090453101322055,4.2664818465709686e-05,0.0024719880893826485,,0.5771480202674866,0.0,2793,-0.1049048900604248,254976,623.0,437.3083529472351,0.00014708141679875553,
1763260531.5064812,,,,,500.0,,,2824,,258118,,440.5699350833893,,500.0
1763260533.738883,0.003546975553035736,0.00026295578572899103,6.556883454322815e-05,-0.0003548767417669296,,0.527038037776947,0.0,2843,-1.1786448955535889,260096,627.0,442.80233693122864,0.00014400921645574272,
1763260535.3467212,0.000941907986998558,0.0005497708916664124,4.962366074323654e-05,0.002302187494933605,,0.522029459476471,0.0,2857,-1.0104212760925293,261504,628.0,444.41017508506775,0.0001431643613614142,
1763260538.1596127,-4.372745752334595e-05,0.00015999397146515548,2.0226463675498962e-05,-0.0008542798459529877,,0.5132620930671692,0.0,2882,-0.27871906757354736,264064,630.0,447.22306656837463,0.0001416282611899078,
1763260539.0278285,-0.004734888672828674,0.004611419513821602,0.00032029952853918076,0.0011407090350985527,,0.4696253538131714,0.0,2890,-0.06983530521392822,264832,631.0,448.0912823677063,0.00014116743113845587,
1763260541.3749084,5.344301462173462e-05,0.00035002361983060837,0.00024668965488672256,0.006664103828370571,,0.563036322593689,0.0,2911,-0.2207784652709961,267008,632.0,450.4383623600006,0.00013986174599267542,
1763260543.9867415,-0.0034147482365369797,0.0002764365344773978,0.00097661092877388,-0.007829107344150543,,0.49231502413749695,0.0,2935,-0.031852126121520996,269440,634.0,453.05019545555115,0.00013840245082974434,
1763260545.5379498,0.0006684735417366028,0.004523169249296188,0.0010479660704731941,0.012384884990751743,,0.45218712091445923,0.0,2949,-0.2210756540298462,270848,635.0,454.6014037132263,0.00013755761028733104,
1763260546.7623663,-0.006325721740722656,0.00010316299449186772,0.00021561887115240097,0.006418422795832157,,0.6054683923721313,0.0,2960,-1.0691449642181396,272000,636.0,455.8258202075958,0.00013686636521015316,
1763260548.429349,-0.004294775426387787,0.0001356420252704993,0.0012149950489401817,-0.0029410691931843758,,0.5460154414176941,0.0,2975,-0.08534550666809082,273536,637.0,457.49280285835266,0.00013594470510724932,
1763260549.9854105,-0.011010202579200268,0.0003355593653395772,0.0006092274561524391,0.012757028453052044,,0.5541370511054993,0.0,2989,0.0158805251121521,274944,638.0,459.048864364624,0.0001350998500129208,
1763260550.8212001,0.005498629063367844,517.252197265625,0.00024551618844270706,-0.00275284331291914,,0.565981388092041,0.0,2997,-0.00024259090423583984,275712,639.0,459.884654045105,0.00013463901996146888,
