losses/old_approx_kl,_timestamp,losses/entropy,losses/policy_loss,charts/episodic_return,losses/clipfrac,losses/explained_variance,losses/value_loss,charts/learning_rate,_runtime,charts/SPS,losses/approx_kl,_step,global_step,charts/episodic_length
-0.0130612812936306,1763260478.3864038,0.5226932168006897,-0.021692153066396713,,0.01171875,-0.8420859575271606,0.008294819854199886,0.00017058372031897306,387.4132618904114,601.0,0.0038886386901140213,2348,215808,
0.001956694759428501,1763260478.9863207,0.5095348954200745,0.001706371083855629,,0.0,-2.8180439472198486,0.009505326859652996,0.00017027650028467178,388.0131788253784,601.0,4.440639168024063e-05,2354,216320,
-0.0015501920133829117,1763260479.8920748,0.5563209056854248,0.0021155476570129395,,0.0,-0.0008636713027954102,399.30517578125,0.00016973886522464454,388.9189329147339,602.0,9.758025407791138e-05,2363,217216,
0.0008977185934782028,1763260482.7085955,0.5390212535858154,-0.003691546618938446,,0.0,0.12679523229599,0.00031639751978218555,0.00016812596004456282,391.73545360565186,605.0,0.00031304918229579926,2389,219904,
0.02322579175233841,1763260483.2645519,0.517670750617981,-0.03455184027552605,,0.009765625,0.0245283842086792,0.0003828686894848943,0.00016781874001026154,392.29140996932983,605.0,0.005470805801451206,2394,220416,
0.004118416458368301,1763260486.971449,0.532063364982605,0.008020889014005661,,0.0,-0.00040090084075927734,0.004033506382256746,0.00016589861479587853,395.9983069896698,608.0,0.0005665607750415802,2426,223616,
0.0023993952199816704,1763260487.419622,0.47383004426956177,0.00654253363609314,,0.0,-2.586841583251953e-05,378.2961120605469,0.00016566819977015257,396.44648003578186,608.0,0.0001611383631825447,2430,224000,
,1763260489.492666,,,500.0,,,,,398.5195240974426,,,2449,225990,500.0
-0.005543038249015808,1763260491.926503,0.5156047940254211,-0.0016842372715473175,,0.0,-0.0008904933929443359,684.9389038085938,0.0001635176595300436,400.9533610343933,610.0,0.00026135146617889404,2465,227584,
0.00024161767214536667,1763260495.7442567,0.4634281396865845,-0.0037425458431243896,,0.0,-0.04207766056060791,0.0005223468178883195,0.0001619047689018771,404.7711148262024,611.0,0.00015932228416204453,2491,230272,
,1763260496.0147233,,,500.0,,,,,405.0415813922882,,,2493,230490,500.0
0.004851197823882103,1763260498.2990837,0.5014734268188477,-0.00098399817943573,,0.0,-0.029103636741638184,0.00026758640888147056,0.00016098310879897326,407.32594180107117,611.0,0.0006933193653821945,2506,231808,
-0.008550554513931274,1763260499.3525538,0.5286170840263367,0.0037145819514989853,,0.0,-0.0007650852203369141,466.14727783203125,0.00016052227874752134,408.3794119358063,612.0,0.0004960447549819946,2514,232576,
0.001093067228794098,1763260499.4871461,0.5715331435203552,-0.003786277025938034,,0.0,-0.12382698059082031,0.006386256776750088,0.00016044547373894602,408.51400423049927,612.0,0.0010928325355052948,2515,232704,
-0.0034980354830622673,1763260500.043752,0.5594308376312256,-0.007453195750713348,,0.0,-0.09009838104248047,0.0056634387001395226,0.00016013825370464474,409.0706100463867,612.0,0.0021288450807332993,2520,233216,
0.007062302902340889,1763260501.4603121,0.49982452392578125,-0.0036018118262290955,,0.0,-0.00011706352233886719,536.8527221679688,0.00015937020361889154,410.4871702194214,613.0,0.00015203841030597687,2533,234496,
-0.000531371682882309,1763260502.2708929,0.556086540222168,0.0004347264766693115,,0.0,-0.02375626564025879,0.000606277899350971,0.00015890937356743962,411.2977509498596,614.0,8.782185614109039e-05,2540,235264,
,1763260503.00935,,,500.0,,,,,412.036208152771,,,2547,235990,500.0
,1763260505.2126813,,,140.0,,,,,414.2395393848419,,,2570,237993,140.0
-0.001325598917901516,1763260505.34486,0.5525059700012207,-0.004666851833462715,,0.0,-0.0003236532211303711,527.6431884765625,0.00015721966337878257,414.37171816825867,616.0,0.00010330136865377426,2571,238080,
-0.00222570076584816,1763260505.887131,0.5272265076637268,-0.025356411933898926,,0.0,-0.008848905563354492,0.007676794193685055,0.0001569124433444813,414.91398906707764,617.0,0.00159519724547863,2576,238592,
,1763260505.905705,,,499.0,,,,,414.93256306648254,,,2577,238621,499.0
