losses/clipfrac,losses/value_loss,losses/old_approx_kl,_timestamp,charts/episodic_length,global_step,losses/policy_loss,losses/explained_variance,losses/entropy,losses/approx_kl,charts/episodic_return,_runtime,charts/learning_rate,_step,charts/SPS
0.0,708.5202026367188,-0.0016214391216635704,1763260308.8116846,,90112,0.0021253004670143127,-9.953975677490234e-05,0.5161105394363403,8.231308311223984e-05,,217.98270869255066,0.0002460061514284462,1091,475.0
0.0,508.002685546875,-0.0004249587655067444,1763260311.2860684,,91648,0.0005339309573173523,0.00032460689544677734,0.5516096949577332,1.0682269930839539e-05,,220.45709252357483,0.00024508449132554233,1106,477.0
0.005859375,0.00036812922917306423,-0.0022384263575077057,1763260313.2500162,,92928,-0.01047089695930481,0.014135181903839111,0.6160401701927185,0.002509959042072296,,222.42104029655457,0.00024431644123978913,1118,479.0
0.005859375,663.5134887695312,-0.0053099701181054115,1763260313.8929973,,93440,0.004797201603651047,0.006237447261810303,0.4895927309989929,0.001275557093322277,,223.06402134895325,0.00024400922120548785,1125,480.0
0.0,0.011132867075502872,-0.003048093058168888,1763260314.8667712,,94208,-0.006066054105758667,0.014691293239593506,0.5566264390945435,0.0005698995664715767,,224.03779530525208,0.00024354839115403593,1133,482.0
0.015625,0.0005283585051074624,0.007836359553039074,1763260316.2925804,,95360,-0.014132829383015633,-0.032758355140686035,0.4797806143760681,0.003298773430287838,,225.46360445022583,0.00024285714607685804,1145,484.0
0.0,0.000624784966930747,0.0005987426266074181,1763260318.5194862,,97280,-0.0011453405022621155,-0.3196232318878174,0.4887957274913788,0.00016502011567354202,,227.69051027297974,0.00024170507094822824,1164,488.0
,,,1763260318.5756423,500.0,97404,,,,,500.0,227.746666431427,,1165,
0.0,0.006451694294810295,-0.0031649814918637276,1763260319.4223976,,98048,-0.00010704994201660156,0.07159239053726196,0.49468713998794556,0.00185482669621706,,228.59342169761658,0.00024124424089677632,1172,490.0
0.0,294.43939208984375,0.0005903905257582664,1763260321.0495024,,98944,-0.0010928697884082794,0.00028580427169799805,0.4402416944503784,0.00033298227936029434,,230.22052645683289,0.00024070660583674908,1181,490.0
0.0,410.8088684082031,-0.0030028950423002243,1763260322.002959,,99456,0.002043766900897026,0.0002887845039367676,0.48378244042396545,5.6488439440727234e-05,,231.17398309707642,0.0002403993858024478,1186,490.0
0.001953125,0.005768585484474897,-0.0030840514227747917,1763260324.1311412,,100608,-0.012706278823316097,-0.005117535591125488,0.39608874917030334,0.0013831434771418571,,233.30216526985168,0.00023970814072526991,1197,491.0
0.0,0.00048114039236679673,-0.0036329952999949455,1763260327.1689694,,102272,-0.00523792952299118,0.04938274621963501,0.3700486421585083,0.00042994599789381027,,236.33999347686768,0.00023870967561379075,1213,492.0
,,,1763260327.4148588,500.0,102404,,,,,500.0,236.58588290214539,,1215,
0.0,0.007743345573544502,-0.006913112476468086,1763260329.5086372,,103552,-0.019442930817604065,-0.16421818733215332,0.4066082835197449,0.0024494891986250877,,238.6796612739563,0.00023794162552803755,1226,492.0
0.0,597.751953125,0.0025944458320736885,1763260330.2018585,,103936,0.002230237238109112,-0.0001266002655029297,0.4247429072856903,0.00015509594231843948,,239.372882604599,0.0002377112105023116,1230,493.0
,,,1763260330.8977823,500.0,104404,,,,,500.0,240.06880640983582,,1234,
