losses/clipfrac,global_step,losses/policy_loss,losses/old_approx_kl,charts/episodic_return,losses/approx_kl,_timestamp,charts/episodic_length,losses/explained_variance,losses/value_loss,_step,charts/learning_rate,losses/entropy,_runtime,charts/SPS
0.0,71424,0.0007481370121240616,0.006384899839758873,,0.0015561804175376892,1763260141.434714,,-0.0005005598068237305,0.08564837276935577,1455,0.00025721965357661247,0.37301963567733765,81.16488814353943,1001.0
0.080078125,71552,-0.005788825452327728,-0.006806917488574982,,0.03608124703168869,1763260141.6956408,,0.44795918464660645,0.00523214228451252,1456,0.00025714284856803715,0.4131527543067932,81.42581486701965,1000.0
0.037109375,71680,-0.010543737560510635,0.010928365401923656,,0.005119071342051029,1763260141.952982,,-0.06552386283874512,0.00015191908460110426,1457,0.00025706604355946183,0.39280951023101807,81.68315601348877,998.0
,77424,,,500.0,,1763260152.1937876,500.0,,,1514,,,91.9239616394043,
0.029296875,78080,0.03321833908557892,-0.028523912653326988,,0.006628332659602165,1763260153.3929079,,0.3063064217567444,0.0009775604121387005,1521,0.0002532257931306958,0.2969275712966919,93.12308192253113,937.0
0.0234375,78720,-0.0058549195528030396,0.011733406223356724,,0.0034315334632992744,1763260154.378774,,-0.045981526374816895,2.872870027204044e-05,1527,0.0002528417680878192,0.34135082364082336,94.10894799232483,934.0
,78924,,,500.0,,1763260154.6262398,500.0,,,1529,,,94.35641384124756,
,79424,,,500.0,,1763260155.4410944,500.0,,,1534,,,95.17126846313477,
0.017578125,79616,0.034774571657180786,0.005031541921198368,,0.0050058746710419655,1763260155.8156028,,0.04392176866531372,0.0028996621258556843,1536,0.000252304133027792,0.3572595417499542,95.54577684402466,929.0
0.06640625,80256,0.03161304444074631,-0.006312087178230286,,0.00628449022769928,1763260156.8534505,,-0.04020512104034424,5.470382529892959e-05,1543,0.00025192013708874583,0.3514494001865387,96.58362460136414,925.0
,80437,,,500.0,,1763260157.0876222,500.0,,,1545,,,96.81779623031616,
0.025390625,80512,-0.0009693503379821777,-0.0036231782287359238,,0.0034681186079978943,1763260157.259803,,-0.0003756284713745117,136.6765899658203,1546,0.0002517665270715952,0.3043767511844635,96.98997712135315,924.0
0.013671875,81792,0.004526469856500626,0.004064692184329033,,0.003822518512606621,1763260159.2806976,,-0.0317610502243042,4.116447962587699e-05,1558,0.000250998476985842,0.26629096269607544,99.01087164878845,917.0
0.0546875,81920,-0.015880810096859932,0.033667370676994324,,0.003796961158514023,1763260159.4534817,,-0.02838146686553955,7.867284693929832e-06,1559,0.00025092167197726667,0.281804621219635,99.18365573883057,917.0
0.046875,82304,-0.0018070116639137268,0.006979306228458881,,0.005577377043664455,1763260160.0503228,,-0.01036691665649414,8.550578058930114e-07,1563,0.0002506912569515407,0.335668683052063,99.78049683570862,915.0
0.033203125,82560,0.01650814339518547,-0.011870749294757843,,0.0007956232875585556,1763260160.466071,,-0.0004559755325317383,21.48187828063965,1566,0.00025053764693439007,0.2545125186443329,100.19624495506287,914.0
,84937,,,500.0,,1763260164.2211783,500.0,,,1589,,,103.95135235786438,
0.08984375,85760,0.0005000829696655273,0.043790336698293686,,0.02410515956580639,1763260165.7063153,,-0.04853188991546631,0.0002521677815821022,1597,0.00024861752172000706,0.3080520033836365,105.43648934364319,897.0
0.025390625,86784,-0.01403464563190937,0.018893761560320854,,0.0067029111087322235,1763260167.3720767,,-0.017160654067993164,5.020611570216715e-05,1607,0.0002480030816514045,0.25151416659355164,107.10225081443787,892.0
,86937,,,500.0,,1763260167.6172452,500.0,,,1609,,,107.34741926193237,
0.072265625,87040,-0.014333459548652172,-0.01385982520878315,,0.004577661864459515,1763260167.8136375,,-0.0011156797409057617,21.895933151245117,1610,0.00024784947163425386,0.2470504343509674,107.54381155967712,891.0
,89937,,,500.0,,1763260172.2019866,500.0,,,1638,,,111.93216061592102,
0.06640625,94848,0.034672364592552185,0.08687934279441833,,0.018895156681537628,1763260180.0955045,,-0.013182282447814941,0.00019884717767126858,1687,0.00024316436611115932,0.2755739390850067,119.82567858695984,862.0
0.072265625,99328,-0.00877651572227478,0.019782977178692818,,0.0056450627744197845,1763260188.3578422,,-0.03397858142852783,3.5222183214500546e-05,1732,0.00024047619081102312,0.2088928073644638,128.0880162715912,840.0
0.025390625,100608,-0.024950841441750526,0.024910518899559975,,0.006716783158481121,1763260190.4997556,,0.37723034620285034,0.005162556655704975,1745,0.00023970814072526991,0.2913230061531067,130.22992968559265,835.0
,101466,,,500.0,,1763260191.7242987,500.0,,,1753,,,131.45447278022766,
0.005859375,101504,-0.005908185616135597,-0.0045225173234939575,,0.002226622775197029,1763260191.9120424,,-0.00020062923431396484,141.5447235107422,1754,0.00023917050566524267,0.23435580730438232,131.6422164440155,833.0
0.00390625,102656,-0.000511854887008667,0.002851705066859722,,0.0013432791456580162,1763260193.7022543,,0.07259035110473633,0.0038217511028051376,1765,0.0002384792605880648,0.2307320386171341,133.43242835998535,830.0
,102966,,,500.0,,1763260194.1325147,500.0,,,1768,,,133.86268877983093,
0.013671875,103936,-0.002819240093231201,0.016382943838834763,,0.003274640068411827,1763260195.6946862,,-0.018657326698303223,2.5988289053202607e-05,1777,0.0002377112105023116,0.2098209410905838,135.42486023902893,827.0
0.046875,108032,-0.00016547739505767822,0.016492579132318497,,0.008460283279418945,1763260202.2245913,,-0.00018906593322753906,0.012419609352946281,1818,0.00023525345022790134,0.17571716010570526,141.95476531982422,817.0
0.048828125,108544,-0.034894898533821106,0.006924228742718697,,0.007788580842316151,1763260203.0366254,,-0.00024509429931640625,142.29335021972656,1823,0.00023494623019360006,0.3303024172782898,142.76679944992065,816.0
,111466,,,500.0,,1763260207.5681665,500.0,,,1851,,,147.29834055900574,
,111966,,,500.0,,1763260208.375684,500.0,,,1856,,,148.10585808753967,
0.009765625,113152,-0.0014784839004278183,0.005240745842456818,,0.001026105135679245,1763260210.413613,,-0.015443086624145508,0.001251316862180829,1868,0.00023218126443680376,0.2770381271839142,150.14378714561462,806.0
0.103515625,113664,-0.029829606413841248,-0.005889858119189739,,0.011460686102509499,1763260211.1915164,,-0.041676998138427734,0.001284600468352437,1873,0.00023187404440250248,0.2375531941652298,150.92169046401978,805.0
0.16015625,114048,0.0021540988236665726,0.011337396688759327,,0.008251178078353405,1763260211.7806542,,-0.0001894235610961914,142.79733276367188,1877,0.00023164362937677652,0.15979845821857452,151.51082825660706,805.0
,114966,,,500.0,,1763260213.248448,500.0,,,1886,,,152.97862195968628,
0.115234375,116736,-0.018066689372062683,0.033526502549648285,,0.006239490583539009,1763260216.161715,,-0.025978922843933105,0.0006983525236137211,1903,0.0002300307241966948,0.22832444310188293,155.8918890953064,799.0
0.037109375,116992,-0.00550687313079834,-0.035026904195547104,,0.005590718239545822,1763260216.5926487,,-0.00010323524475097656,25.68844985961914,1906,0.00022987711417954415,0.17334996163845062,156.32282280921936,798.0
0.072265625,118144,-0.030232716351747513,0.0075753554701805115,,0.031033845618367195,1763260218.5519178,,0.05857491493225098,0.005836878437548876,1918,0.00022918586910236627,0.22834762930870056,158.2820918560028,796.0
0.1223958358168602,118400,0.07549632340669632,-0.026340754702687263,,0.04222884401679039,1763260218.925863,,0.0009990334510803223,0.00019870030519086868,1920,0.00022903225908521563,0.2582085132598877,158.65603709220886,795.0
0.080078125,120960,-0.018091682344675064,0.01190858893096447,,0.0005483962595462799,1763260223.076444,,-0.009343385696411133,7.151327736210078e-05,1945,0.00022749615891370922,0.21292893588542938,162.80661797523499,790.0
0.0,122368,-0.0022725630551576614,0.008730791509151459,,0.0008811112493276596,1763260225.3632524,,-0.0018415451049804688,0.00013243242574390024,1959,0.0002266513038193807,0.26108574867248535,165.09342646598816,788.0
0.0,123776,-0.001154046505689621,-0.008719910867512226,,0.00186199601739645,1763260227.615517,,-0.01209259033203125,0.00020240781304892153,1973,0.00022580644872505218,0.20817646384239197,167.34569096565247,786.0
,124995,,,500.0,,1763260229.4747915,500.0,,,1985,,,169.20496559143066,
0.0,125568,-0.00014838948845863342,0.0003244169056415558,,0.00017332658171653748,1763260230.4400864,,-0.00012791156768798828,142.854248046875,1991,0.0002247311786049977,0.16435423493385315,170.17026042938232,783.0
0.01953125,126720,0.0008890442550182343,0.012507175095379353,,0.008275057189166546,1763260232.2387128,,-0.0220491886138916,0.00247744657099247,2002,0.0002240399335278198,0.1909574717283249,171.9688868522644,781.0
0.025390625,127232,0.014506816864013672,-0.004244470968842506,,0.001345958560705185,1763260233.020351,,-0.020853281021118164,0.0052885981276631355,2007,0.00022373271349351853,0.16497200727462769,172.75052499771118,781.0
0.05078125,128128,-0.006938029080629349,0.028230197727680206,,0.004085022024810314,1763260234.4641101,,0.23910319805145264,0.0017850722651928663,2016,0.0002231950784334913,0.181531623005867,174.19428420066833,779.0
,128995,,,500.0,,1763260235.6613116,500.0,,,2024,,,175.39148569107056,
0.0390625,129280,0.011840036138892174,-0.009453967213630676,,0.007492039352655411,1763260236.218077,,-0.01115405559539795,2.731330823735334e-07,2027,0.0002225038333563134,0.25852474570274353,175.94825100898743,778.0
