charts/SPS,losses/approx_kl,losses/clipfrac,losses/entropy,global_step,charts/learning_rate,_runtime,charts/episodic_length,charts/episodic_return,losses/value_loss,losses/policy_loss,losses/explained_variance,_step,_timestamp,losses/old_approx_kl
773.0,0.0019796444103121758,0.0,0.1807117760181427,131840,0.00022096774773672223,177.8150441646576,,,1.2885465366707649e-05,0.0013621151447296143,0.9593327641487122,1945,1763260238.0738502,-0.0048375204205513
771.0,3.26596200466156e-05,0.0,0.18142759799957275,133248,0.0002201228926423937,180.25560903549194,,,0.556181788444519,0.0002644844353199005,0.025752902030944824,1959,1763260240.514415,-0.0004415959119796753
,,,,134662,,182.6203694343567,500.0,500.0,,,,1973,1763260242.8791754,
766.0,0.03208501636981964,0.140625,0.21832260489463806,135936,0.00021850998746231198,184.73399901390076,,,0.00035195695818401873,0.030596137046813965,0.9991520643234253,1985,1763260244.992805,-0.03797638416290283
766.0,0.0033451151102781296,0.0078125,0.13667920231819153,136576,0.00021812596241943538,185.66107439994812,,,0.00010253173240926117,0.0033878181129693985,0.9952641129493713,1991,1763260245.9198804,0.004166651517152786
,,,,137662,,187.39628171920776,500.0,500.0,,,,2002,1763260247.6550877,
,,,,138162,,188.20273900032043,500.0,500.0,,,,2007,1763260248.461545,
762.0,0.00011600460857152939,0.0,0.11385014653205872,139136,0.00021658986224792898,189.81978797912598,,,0.00012157694436609745,-0.0020612403750419617,0.9959621429443359,2016,1763260250.078594,0.0024507688358426094
762.0,0.0030789412558078766,0.01171875,0.1388992965221405,139392,0.00021643625223077834,190.24845671653748,,,0.0008055490325205028,0.019068941473960876,0.8958673477172852,2019,1763260250.5072627,-0.009917933493852615
761.0,0.0032896576449275017,0.015625,0.18477651476860046,139904,0.00021612903219647706,191.08028960227966,,,0.0006750898319296539,-0.004771701991558075,0.9847161173820496,2024,1763260251.3390956,0.0017623351886868477
,,,,140162,,191.48467135429382,500.0,500.0,,,,2027,1763260251.7434773,
