_step,charts/episodic_length,losses/explained_variance,charts/learning_rate,losses/clipfrac,losses/entropy,losses/old_approx_kl,_runtime,_timestamp,losses/value_loss,losses/policy_loss,charts/SPS,charts/episodic_return,losses/approx_kl,global_step
1920,,0.9942517280578613,0.00022718893887940794,0.1223958358168602,0.22810308635234833,0.08652293682098389,163.04190135002136,1763260223.3157313,0.0006269171135500073,-0.05144418776035309,791.0,,0.05021193251013756,121472
1945,,0.995621919631958,0.00022565283870790154,0.068359375,0.16065552830696106,0.032695334404706955,167.13251543045044,1763260227.4063454,0.0006479416042566299,-0.03621469438076019,787.0,,0.0066855959594249725,124032
1959,,0.13818061351776123,0.00022480798361357301,0.1536458283662796,0.1791558712720871,0.1248108297586441,169.34692645072937,1763260229.6207564,135.4913787841797,0.015823442488908768,785.0,,0.03845509514212608,125440
1973,,0.02886056900024414,0.0002239631285192445,0.00390625,0.22893452644348145,0.0057615600526332855,171.56653451919556,1763260231.8403645,0.018072333186864853,0.006130123510956764,783.0,,0.001440398395061493,126848
1985,,0.9965415000915527,0.0002231950784334913,0.0625,0.28272581100463867,0.006463313475251198,173.49961137771606,1763260233.7734413,0.00029682667809538543,-0.004201680421829224,781.0,,0.0016437936574220657,128128
1991,,0.9819172620773315,0.0002228110533906147,0.013671875,0.25695928931236267,0.004274320788681507,174.50943517684937,1763260234.783265,0.0004260920104570687,-0.003278881311416626,781.0,,4.097539931535721e-05,128768
2002,500.0,,,,,,176.1674747467041,1763260236.4413047,,,,500.0,,129834
2007,500.0,,,,,,176.99002385139465,1763260237.2638538,,,,500.0,,130334
2016,,0.941814124584198,0.0002212749677710235,0.11328125,0.2144787311553955,0.020591147243976593,178.57405757904053,1763260238.8478875,0.0003876736154779792,-0.03809468075633049,777.0,,0.03396780788898468,131328
2024,,0.9811656475067139,0.0002208141377195716,0.0,0.2059815227985382,0.007998363114893436,179.78036546707153,1763260240.0541954,0.0002602307649794966,-0.0025773346424102783,776.0,,0.0017913924530148506,132096
2027,,0.012031018733978271,0.00022066052770242095,0.0078125,0.23087969422340393,-0.002289440482854843,180.17274403572083,1763260240.446574,22.7044734954834,0.013794422149658203,776.0,,0.0007388442754745483,132352
2034,,0.9595059156417847,0.00022019969765096903,0.1744791716337204,0.2705175280570984,0.07441933453083038,181.3065848350525,1763260241.5804148,0.00041444579255767167,-0.0659056156873703,775.0,,0.07523370534181595,133120
2045,,0.8966216444969177,0.00021950845257379115,0.03515625,0.25624263286590576,0.01224832609295845,182.9830024242401,1763260243.2568324,0.0008808670681901276,-0.007180811837315559,774.0,,0.006595347076654434,134272
2051,500.0,,,,,,183.77604365348816,1763260244.0498736,,,,500.0,,134834
2052,,0.11855971813201904,0.00021912442753091455,0.029296875,0.17601867020130157,0.011001994833350182,183.96026492118835,1763260244.2340949,157.7652587890625,-0.0004816204309463501,773.0,,0.0015293043106794357,134912
2070,,0.7683321237564087,0.00021797235240228474,0.072265625,0.21555966138839722,0.009916420094668865,186.77393770217896,1763260247.0477676,0.0012664215173572302,-0.01596776396036148,772.0,,0.0011357972398400307,136832
2076,,0.01622110605239868,0.00021766513236798346,0.033203125,0.2472497671842575,-0.02385263890028,187.57075333595276,1763260247.8445833,22.154685974121094,-0.005189297720789909,771.0,,0.004989027976989746,137344
2093,,0.9880267381668091,0.00021658986224792898,0.1536458283662796,0.21629980206489563,0.003934442065656185,190.17365407943726,1763260250.447484,0.000592216441873461,0.003927236422896385,770.0,,0.05166999623179436,139136
2094,,0.9750521183013916,0.00021651305723935366,0.18359375,0.2607230246067047,0.04335058853030205,190.35160732269287,1763260250.6254373,0.00040637407801114023,-0.013107206672430038,770.0,,0.027857797220349312,139264
