global_step,losses/policy_loss,losses/explained_variance,_timestamp,_runtime,losses/clipfrac,charts/learning_rate,charts/episodic_return,losses/old_approx_kl,charts/SPS,losses/approx_kl,losses/value_loss,charts/episodic_length,_step,losses/entropy
113408,0.005565781146287918,-5.555152893066406e-05,1763260190.3259778,137.42191886901855,0.0,0.00023202765441965312,,-0.010009672492742538,1018.0,0.0005534868687391281,258.6600646972656,,1339,0.5179476737976074
113536,-0.006791824474930763,-0.012726545333862305,1763260190.4794793,137.57542037963867,0.0,0.0002319508494110778,,0.001711403951048851,1018.0,0.0005248580127954483,0.005400247406214476,,1340,0.43075254559516907
114432,0.0025092624127864838,-0.00018072128295898438,1763260191.2913156,138.38725662231445,0.0,0.00023141321435105056,,0.00558832474052906,1018.0,0.0003368966281414032,279.13189697265625,,1349,0.5059777498245239
115843,,,1763260192.6030154,139.698956489563,,,500.0,,,,,500.0,1363,
116096,-0.012456130236387253,-0.03715157508850098,1763260192.834234,139.93017506599426,0.0,0.0002304147492395714,,0.0004827762022614479,1019.0,0.0017300555482506752,0.0004236890817992389,,1365,0.47967445850372314
116608,-0.010289862751960754,-0.13067388534545898,1763260193.2815604,140.37750148773193,0.0,0.0002301075292052701,,0.004632425494492054,1020.0,0.0006629852578043938,0.0006993099814280868,,1370,0.40078461170196533
117632,0.0034490302205085754,0.0071315765380859375,1763260194.2200077,141.3159487247467,0.009765625,0.00022949308913666755,,-0.0019499650225043297,1020.0,0.0016629928722977638,0.00017048511654138565,,1380,0.4642598032951355
117760,-0.018351830542087555,-0.936164379119873,1763260194.3316543,141.42759537696838,0.044921875,0.00022941628412809223,,-0.007781166583299637,1020.0,0.01297394372522831,0.00010793394176289439,,1381,0.5144749283790588
118400,-0.010691560804843903,-0.000156402587890625,1763260194.935612,142.03155303001404,0.0,0.00022903225908521563,,0.003878967836499214,1021.0,0.0011388864368200302,229.2454376220703,,1388,0.45174577832221985
119168,0.0006232112646102905,-0.4969280958175659,1763260195.606781,142.70272207260132,0.0,0.0002285714290337637,,-0.004188072867691517,1021.0,8.542370051145554e-05,0.0005016191280446947,,1395,0.47386637330055237
119552,-0.0007248930633068085,-0.1156768798828125,1763260195.9809005,143.0768415927887,0.0,0.00022834101400803775,,0.0027834707871079445,1021.0,5.153287202119827e-05,0.0038678497076034546,,1399,0.5223941802978516
120192,-0.0008368268609046936,0.032733380794525146,1763260196.5456002,143.6415412425995,0.0,0.00022795698896516114,,-0.0032747918739914894,1022.0,3.325473517179489e-05,0.00044251271174289286,,1405,0.4550155997276306
122880,0.00010572373867034912,-0.00015401840209960938,1763260199.019358,146.11529898643494,0.0,0.00022634408378507942,,-0.005922457203269005,1023.0,0.0010412726551294327,552.8841552734375,,1432,0.45978954434394836
123008,0.0005103349685668945,-0.14035820960998535,1763260199.1309927,146.22693371772766,0.0,0.0002262672787765041,,0.0018805507570505142,1023.0,8.187256753444672e-05,0.00597931956872344,,1433,0.43700578808784485
125312,0.0040287114679813385,-0.7012406587600708,1763260201.2316203,148.327561378479,0.0,0.00022488478862214833,,0.013104794546961784,1025.0,0.0009075906127691269,0.0002083552535623312,,1455,0.5176159143447876
125343,,,1763260201.2446182,148.34055924415588,,,500.0,,,,,500.0,1456,
