global_step,charts/episodic_length,losses/value_loss,losses/policy_loss,charts/learning_rate,losses/clipfrac,losses/explained_variance,_step,charts/SPS,losses/entropy,_runtime,charts/episodic_return,_timestamp,losses/approx_kl,losses/old_approx_kl
108032,,386.63623046875,0.005029913038015366,0.00023525345022790134,0.0,-0.00015795230865478516,1271,974.0,0.4801579415798187,137.1643180847168,,1763260190.235549,0.00020217057317495346,0.002924288623034954
110976,,0.0001855376031016931,0.0028400402516126633,0.0002334869495825842,0.005859375,-0.3761519193649292,1299,975.0,0.5000431537628174,140.05181574821472,,1763260193.1230466,0.0013779997825622559,-0.009584009647369385
114944,,0.0006233068997971714,-0.0007481947541236877,0.00023110599431674927,0.0,-0.039882540702819824,1339,978.0,0.5410246253013611,143.81072115898132,,1763260196.881952,0.0002938685938715935,0.001027737744152546
115072,,0.0003742216504178941,-0.008696511387825012,0.00023102918930817395,0.001953125,-0.307613730430603,1340,978.0,0.5689586997032166,143.92910981178284,,1763260197.0003407,0.0029122428968548775,0.009513955563306808
115968,,0.0007100561051629484,-0.017358778044581413,0.0002304915542481467,0.044921875,-2.2784478664398193,1349,978.0,0.507155179977417,144.8200523853302,,1763260197.8912833,0.007040391676127911,0.0037598460912704468
117376,,0.0003721712273545563,0.015950024127960205,0.0002296466991538182,0.015625,0.1380181908607483,1363,979.0,0.5128062963485718,146.114342212677,,1763260199.185573,0.005627594888210297,0.013289075344800949
117602,500.0,,,,,,1365,,,146.26837944984436,500.0,1763260199.3396103,,
118102,500.0,,,,,,1370,,,146.75582456588745,500.0,1763260199.8270555,,
119102,500.0,,,,,,1380,,,147.69071459770203,500.0,1763260200.7619455,,
119168,,208.161376953125,-0.0063559189438819885,0.0002285714290337637,0.0,0.0001137852668762207,1381,980.0,0.5582073926925659,147.78843879699707,,1763260200.8596697,0.0006588241085410118,-0.006055071018636227
119936,,0.0007106239208951592,-0.0061275288462638855,0.00022811059898231179,0.0,-0.28581368923187256,1388,981.0,0.48998576402664185,148.46515226364136,,1763260201.5363832,0.0007938332855701447,-0.0018970221281051636
120602,500.0,,,,,,1395,,,149.0954692363739,500.0,1763260202.1667001,,
121088,,0.00010629548341967165,0.0021563656628131866,0.0002274193539051339,0.015625,-0.17089247703552246,1399,982.0,0.5592797994613647,149.55498600006104,,1763260202.626217,0.0029735974967479706,-0.00045392848551273346
121602,500.0,,,,,,1405,,,150.0839240550995,500.0,1763260203.155155,,
124416,,0.0004721198929473758,0.014167428016662598,0.00022542242368217558,0.0,-0.13574755191802979,1432,983.0,0.5806262493133545,152.77265644073486,,1763260205.8438873,0.001014714129269123,0.0018932567909359932
124544,,0.00014573041698895395,1.6029924154281616e-05,0.00022534561867360026,0.0,0.16777759790420532,1433,983.0,0.567755937576294,152.88452696800232,,1763260205.9557579,0.0003182515501976013,0.008194785565137863
126720,,0.0237763449549675,-0.0007357150316238403,0.0002240399335278198,0.0,0.00021082162857055664,1455,985.0,0.5157540440559387,154.93036198616028,,1763260208.0015929,0.00020610634237527847,-0.0041270991787314415
126848,,0.004161619581282139,-0.032018907368183136,0.0002239631285192445,0.001953125,0.01244574785232544,1456,985.0,0.5110133290290833,155.04337191581726,,1763260208.1146028,0.0032565025612711906,-0.0019327187910676003
126976,,0.00019886356312781572,0.002743922173976898,0.00022388632351066917,0.00390625,-0.32540667057037354,1457,985.0,0.5095020532608032,155.156001329422,,1763260208.2272322,0.004928352311253548,0.0012257397174835205
132736,,0.004446652252227068,-0.0018703192472457886,0.000220430112676695,0.0,-0.036280274391174316,1514,986.0,0.5263767242431641,160.80457425117493,,1763260213.8758051,0.0007389988750219345,0.00583210214972496
133504,,0.00012703640095423907,-0.015329424291849136,0.00021996928262524307,0.001953125,0.01788318157196045,1521,987.0,0.4540230333805084,161.53249549865723,,1763260214.6037264,0.0017579896375536919,0.0033475486561656
133888,,0.0004071923904120922,0.0012732669711112976,0.0002197388675995171,0.0,-0.09039223194122314,1525,986.0,0.47961750626564026,161.945307970047,,1763260215.0165389,0.00017005950212478638,-0.001266157254576683
134102,500.0,,,,,,1527,,,162.10099291801453,500.0,1763260215.1722238,,
134272,,0.004326110240072012,-0.0014661550521850586,0.00021950845257379115,0.0,-0.06414318084716797,1529,986.0,0.4795321822166443,162.3311276435852,,1763260215.4023585,8.692778646945953e-05,0.005822585895657539
134784,,0.005369291175156832,-0.013823676854372025,0.00021920123253948987,0.0078125,-0.2618429660797119,1534,986.0,0.45233863592147827,162.85258793830872,,1763260215.9238188,0.002779192291200161,0.012165384367108345
135040,,0.00016909418627619743,0.0062427818775177,0.00021904762252233922,0.0,-0.05925607681274414,1536,987.0,0.4923219680786133,163.0813183784485,,1763260216.1525493,0.0013843588531017303,0.02144741639494896
135680,,389.05291748046875,-0.014038551598787308,0.00021866359747946262,0.0,-2.384185791015625e-07,1543,987.0,0.45467686653137207,163.71236395835876,,1763260216.7835948,0.000402999110519886,-0.0022542187944054604
135936,,2.40829376707552e-05,-0.001422986388206482,0.00021850998746231198,0.0,-0.05864906311035156,1545,987.0,0.530674934387207,163.99078941345215,,1763260217.0620203,0.0005762698128819466,-0.011211215518414974
136064,,0.00015851414354983717,-0.004207119345664978,0.00021843318245373666,0.001953125,-0.22932779788970947,1546,987.0,0.48257261514663696,164.103045463562,,1763260217.1742764,0.002221187576651573,0.014096485450863838
137216,,359.36566162109375,-0.0054989829659461975,0.00021774193737655878,0.0,-3.993511199951172e-05,1558,987.0,0.4567038416862488,165.25973081588745,,1763260218.3309617,0.0011679362505674362,-0.004964686930179596
137344,,0.003248113440349698,-0.006979960948228836,0.00021766513236798346,0.0,-0.18977487087249756,1559,987.0,0.5109566450119019,165.38575220108032,,1763260218.456983,0.0004882076755166054,0.004252473823726177
137728,,151.84193420410156,-0.019884750247001648,0.0002174347173422575,0.0078125,-2.0265579223632812e-06,1563,987.0,0.514717161655426,165.76899814605713,,1763260218.840229,0.004301176406443119,-0.024027850478887558
138102,500.0,,,,,,1566,,,166.07615089416504,500.0,1763260219.1473818,,
140288,,0.004847254604101181,0.002124672755599022,0.0002158986171707511,0.0,0.047937750816345215,1588,988.0,0.5853263139724731,168.22212672233582,,1763260221.2933576,0.0003744736313819885,0.002609526738524437
140416,,0.00010819880844792351,-0.0053018853068351746,0.00021582181216217577,0.0,0.298892617225647,1589,988.0,0.5108199119567871,168.33482909202576,,1763260221.40606,0.002099735662341118,0.006794897839426994
141184,,342.1194152832031,0.0012024082243442535,0.00021536098211072385,0.0,0.00011068582534790039,1597,989.0,0.5498795509338379,169.0173478126526,,1763260222.0885787,0.0004206448793411255,-0.0024046506732702255
142113,500.0,,,,,,1607,,,169.86654210090637,500.0,1763260222.937773,,
142336,,0.009241921827197075,-0.00471433624625206,0.00021466973703354597,0.0,-0.2837425470352173,1609,989.0,0.5691450238227844,170.08156323432922,,1763260223.1527941,0.00017149373888969421,0.0027635041624307632
142464,,0.00048799338401295245,-0.00593547523021698,0.00021459293202497065,0.0,-0.15967893600463867,1610,989.0,0.514354944229126,170.22682118415833,,1763260223.298052,0.0019060112535953522,0.009724719449877739
142613,500.0,,,,,,1612,,,170.3689320087433,500.0,1763260223.440163,,
144113,500.0,,,,,,1626,,,171.68795776367188,500.0,1763260224.7591887,,
145280,,0.006229614373296499,-0.0009887348860502243,0.0002129032218363136,0.0,-0.1742919683456421,1638,991.0,0.49088364839553833,172.84403085708618,,1763260225.9152617,4.690699279308319e-05,0.0017867889255285263
150272,,0.0002765957033261657,-0.0016093626618385315,0.00020990784105379134,0.0,0.1060556173324585,1687,993.0,0.5573670864105225,177.4988672733307,,1763260230.5700982,0.00038357917219400406,0.0025448231026530266
154880,,0.0001399924949510023,-0.01543930172920227,0.00020714286074507982,0.005859375,-0.2810286283493042,1732,995.0,0.48949915170669556,181.84712934494019,,1763260234.9183602,0.0023748110979795456,0.015322865918278694
156032,,497.7786865234375,-0.0008587613701820374,0.00020645161566790193,0.0,0.017333507537841797,1745,996.0,0.4856550693511963,182.93406534194946,,1763260236.0052962,0.00010961852967739105,0.0010080672800540924
156921,500.0,,,,,,1753,,,183.69952249526978,500.0,1763260236.7707534,,
156928,,374.08026123046875,0.0011188685894012451,0.0002059139806078747,0.0,-0.0025328397750854492,1754,996.0,0.4813903570175171,183.77344870567322,,1763260236.8446796,0.0007323296740651131,-0.004359914921224117
158080,,0.004398372024297714,-0.0060486141592264175,0.0002052227355306968,0.0,0.6312273740768433,1765,996.0,0.49633151292800903,184.84371757507324,,1763260237.9149485,0.00022455863654613495,0.010020734742283821
158421,500.0,,,,,,1768,,,185.0973825454712,500.0,1763260238.1686134,,
