charts/learning_rate,charts/SPS,global_step,losses/clipfrac,_runtime,losses/value_loss,losses/entropy,charts/episodic_return,losses/policy_loss,losses/explained_variance,losses/approx_kl,losses/old_approx_kl,_step,charts/episodic_length,_timestamp
0.0002135944669134915,552.0,144128,0.0,287.50398230552673,0.0058876327238976955,0.5230003595352173,,-0.0030497685074806213,0.09082531929016113,0.0002896953374147415,0.007876122370362282,1609,,1763260345.9843714
0.00021351766190491617,552.0,144256,0.0,287.7180895805359,0.00019624867127276957,0.5100900530815125,,-0.005973614752292633,0.09510022401809692,0.0006860159337520599,-0.0018441751599311829,1610,,1763260346.1984787
,,144454,,287.9715483188629,,,500.0,,,,,1612,500.0,1763260346.4519374
0.000212519196793437,553.0,145920,0.0078125,289.9636974334717,0.00015783912385813892,0.4455624222755432,,-0.008717598393559456,-0.2336043119430542,0.004623858258128166,0.0026370566338300705,1626,,1763260348.4440866
0.00021182795171625912,554.0,147072,0.0,291.45791721343994,414.0643615722656,0.4835756719112396,,0.0007368698716163635,0.00018477439880371094,0.002057633362710476,0.008241324685513973,1638,,1763260349.9383063
0.00020890937594231218,557.0,151936,0.0,298.8202130794525,0.0008032994228415191,0.5086200833320618,,-0.0021849628537893295,-0.22532260417938232,0.002026522532105446,-0.00984036922454834,1687,,1763260357.3006022
0.00020614439563360065,563.0,156544,0.0,304.37854075431824,463.4112854003906,0.5126544237136841,500.0,-0.0008376166224479675,-5.710124969482422e-05,7.811002433300018e-05,0.0003838054835796356,1732,500.0,1763260362.8589299
0.00020537634554784745,564.0,157824,0.0,305.9829580783844,0.0008192115928977728,0.5863223075866699,,-0.01279706321656704,-0.3037835359573364,0.004379778169095516,-0.005598488263785839,1745,,1763260364.4633472
0.00020491551549639553,565.0,158592,0.021484375,307.03552055358887,0.0013784817419946194,0.4145117402076721,,0.011052265763282776,-1.2477264404296875,0.0017443988472223282,0.00633891299366951,1753,,1763260365.5159097
0.0002048387104878202,565.0,158720,0.0,307.25276803970337,0.0005355696775950491,0.5617479681968689,,-0.001609036698937416,-0.027704358100891113,0.00036724191159009933,0.0008389698341488838,1754,,1763260365.7331572
,,159771,,308.9138946533203,,,491.0,,,,,1765,491.0,1763260367.3942838
0.00020399385539349169,565.0,160128,0.0234375,309.46843671798706,0.0002624092740006745,0.5550897121429443,,-0.012361504137516022,-3.73477840423584,0.002035857178270817,0.008600129745900631,1768,,1763260367.9488258
0.00020345622033346444,566.0,161024,0.0,310.7620508670807,0.0012727065477520227,0.5321403741836548,,-0.004382997751235962,-0.35582268238067627,0.0005797129124403,0.003364238888025284,1777,,1763260369.24244
