losses/clipfrac,losses/old_approx_kl,_timestamp,charts/episodic_return,losses/entropy,losses/approx_kl,_runtime,losses/policy_loss,charts/learning_rate,charts/episodic_length,charts/SPS,losses/explained_variance,_step,global_step,losses/value_loss
0.0,0.0011478830128908157,1763260271.4926426,,0.34568703174591064,0.0012757088989019394,215.4660565853119,0.017950620502233505,0.0002236559084849432,,678.0,-0.25226008892059326,1432,127360,0.0002042219857685268
,,1763260271.5077827,500.0,,,215.481196641922,,,500.0,,,1433,127396,
0.0,0.0035618580877780914,1763260273.765981,,0.39223048090934753,0.0005106404423713684,217.73939490318298,-0.009343761950731277,0.00022219661332201213,,682.0,0.04361182451248169,1455,129792,0.00027602390036918223
,,1763260273.8071823,500.0,,,217.7805962562561,,,500.0,,,1456,129896,
0.0,-0.0018443409353494644,1763260273.8863728,,0.46212977170944214,0.0006397496908903122,217.8597867488861,0.0020345598459243774,0.00022211982286535203,,682.0,5.704164505004883e-05,1457,129920,493.6802673339844
0.0,-0.0029525253921747208,1763260281.105001,,0.4291538894176483,0.0017579048871994019,225.0784149169922,-0.004735566675662994,0.0002185867924708873,,687.0,0.5990064144134521,1514,135808,0.0016141607193276286
0.0,0.005001788958907127,1763260281.9370687,,0.37553268671035767,0.0003884248435497284,225.9104826450348,-0.004522409290075302,0.0002182027674280107,,688.0,0.0023648738861083984,1521,136448,572.6797485351562
0.0,0.005966791883111,1763260282.381363,,0.38330402970314026,0.00047313421964645386,226.35477685928345,-0.010117746889591217,0.00021797235240228474,,688.0,0.154013991355896,1525,136832,272.7167053222656
,,1763260282.5652199,329.0,,,226.53863382339478,,,329.0,,,1527,137054,
0.0,-6.27441331744194e-05,1763260282.8381174,,0.298369437456131,0.00011485163122415543,226.8115313053131,-0.004005353897809982,0.00021774193737655878,,688.0,-0.16236937046051025,1529,137216,0.019254188984632492
,,1763260283.3269722,332.0,,,227.30038619041443,,,332.0,,,1534,137696,
0.0,-0.0009419620037078857,1763260283.5879602,,0.29793938994407654,3.496930003166199e-05,227.56137418746948,-0.0022511687129735947,0.00021735791233368218,,689.0,-1.4450488090515137,1536,137856,0.025614656507968903
0.001953125,-0.02064075507223606,1763260284.201431,,0.40667062997817993,0.0020689107477664948,228.17484498023987,-0.008032053709030151,0.00021697388729080558,,690.0,-0.1172330379486084,1543,138496,0.0337044894695282
0.0,0.007716647349298,1763260284.319324,,0.40089452266693115,0.001360512338578701,228.29273796081543,-0.009533844888210297,0.00021689708228223026,,690.0,0.6375501155853271,1545,138624,357.2295837402344
0.0,0.0029165251180529594,1763260284.4336658,,0.3707011342048645,8.882861584424973e-05,228.40707969665527,-1.064501702785492e-05,0.00021682027727365494,,691.0,0.1456654667854309,1546,138752,0.03468366339802742
0.0,-0.00627862848341465,1763260285.5408885,,0.39928603172302246,0.00044284015893936157,229.51430249214172,0.007469780743122101,0.00021612903219647706,,692.0,-0.018902301788330078,1558,139904,416.7288818359375
