losses/old_approx_kl,charts/episodic_length,_step,charts/learning_rate,charts/episodic_return,_timestamp,losses/entropy,losses/explained_variance,losses/policy_loss,_runtime,global_step,losses/approx_kl,losses/value_loss,charts/SPS,losses/clipfrac
0.015205643139779568,,2148,0.00024055299581959844,,1763260110.5557673,0.24630263447761536,0.12981224060058594,-0.021629100665450096,99.61522722244263,99200,0.0068748630583286285,7.102693780325353e-05,1024.0,0.048828125
0.031210117042064667,,2155,0.00024009216576814651,,1763260111.2552648,0.29744353890419006,0.4549936056137085,-0.04492814466357231,100.3147246837616,99968,0.004482912831008434,1.9749495550058782e-07,1025.0,0.099609375
-0.003991744481027126,,2172,0.00023909370065666735,,1763260112.742254,0.10836420208215714,0.5515830516815186,0.014680890366435051,101.80171394348145,101632,0.0019240258261561394,3.5647852200781927e-05,1026.0,0.021484375
,496.0,2185,,496.0,1763260113.914349,,,,102.97380900382996,102982,,,,
-0.0018630782142281532,,2192,0.00023786482051946223,,1763260114.6000297,0.18407438695430756,0.26922136545181274,-0.0004904195666313171,103.65948963165283,103680,0.0064309267327189445,0.001118213520385325,1027.0,0.017578125
-0.020469054579734802,,2199,0.0002374039904680103,,1763260115.3033257,0.24978171288967133,-0.1875450611114502,0.018928103148937225,104.36278557777405,104448,0.012207132764160633,1.3557961210608482e-05,1028.0,0.099609375
0.003912272863090038,,2211,0.00023671274539083242,,1763260116.3513713,0.2247018665075302,-0.36531901359558105,-0.0019776374101638794,105.41083121299744,105600,0.0005688583478331566,0.00011844500113511458,1029.0,0.0234375
,469.0,2214,,469.0,1763260116.5972662,,,,105.65672612190247,105922,,,,
0.04178411513566971,,2220,0.00023617511033080518,,1763260117.1476102,0.17436879873275757,-0.00019550323486328125,0.05497525632381439,106.2070701122284,106496,0.014844339340925217,140.9433135986328,1029.0,0.095703125
0.01410636305809021,,2223,0.00023594469530507922,,1763260117.5035374,0.2073756754398346,0.4622951149940491,-0.02970235049724579,106.562997341156,106880,0.003728589043021202,1.0035419109044597e-06,1030.0,0.07421875
