_timestamp,_step,global_step,charts/episodic_length,losses/clipfrac,charts/learning_rate,charts/SPS,losses/entropy,losses/value_loss,losses/old_approx_kl,_runtime,losses/explained_variance,losses/policy_loss,losses/approx_kl,charts/episodic_return
1763260301.9401124,2076,185472,,0.00390625,0.0001887864782474935,686.0,0.2439224272966385,0.009159516543149948,-0.00580032542347908,273.6531662940979,-0.19214236736297607,0.00014525745064020157,0.0007416494190692902,
1763260304.9233449,2093,187264,,0.001953125,0.00018771120812743902,685.0,0.29349443316459656,0.0003726409049704671,0.00012704171240329742,276.63639879226685,0.00322723388671875,-0.015669170767068863,0.0017841756343841553,
1763260304.9678729,2094,187294,500.0,,,,,,,276.68092679977417,,,,500.0
1763260308.808275,2117,189696,,0.0,0.00018625191296450794,684.0,0.292581707239151,0.0004462513606995344,-0.0025491882115602493,280.5213289260864,-0.007843971252441406,-0.00010391511023044586,0.00020437687635421753,
1763260312.761761,2141,192128,,0.01953125,0.00018479263235349208,683.0,0.3042721152305603,0.00010762298916233703,0.010390592738986015,284.4748148918152,-0.20631837844848633,0.0023248670622706413,0.00519455224275589,
1763260313.569202,2146,192640,,0.0,0.0001844854123191908,683.0,0.34443119168281555,0.0005693878629244864,0.010216164402663708,285.28225588798523,0.0658147931098938,-0.010115930810570717,0.0027839550748467445,
1763260313.7554092,2147,192768,,0.00390625,0.00018440860731061548,683.0,0.3601875305175781,0.000366736960131675,0.0007361248135566711,285.46846318244934,-0.15533018112182617,-0.009028300642967224,0.0015236306935548782,
1763260313.7982452,2148,192794,500.0,,,,,,,285.5112991333008,,,,500.0
1763260314.9316282,2155,193536,,0.00390625,0.00018394777725916356,683.0,0.3163726329803467,0.009307470172643661,0.017975952476263046,286.64468216896057,-0.317630410194397,-0.023604456335306168,0.003175007179379463,
1763260317.590656,2172,195294,500.0,,,,,,,289.3037099838257,,,,500.0
1763260319.7587605,2185,196608,,0.0,0.00018210445705335587,682.0,0.30576789379119873,0.0006939572049304843,0.0018093055114150047,291.4718143939972,-0.21963322162628174,0.007908664643764496,0.0005089128389954567,
1763260320.715189,2192,197294,500.0,,,,,,,292.4282429218292,,,,500.0
1763260321.7396483,2198,197888,,0.0,0.00018133640696760267,682.0,0.3772728443145752,6.153631210327148,-0.00011796131730079651,293.45270228385925,-4.208087921142578e-05,0.0024568024091422558,0.0004079267382621765,
1763260321.9169908,2199,198016,,0.001953125,0.00018125960195902735,682.0,0.3586142957210541,0.00947671290487051,0.00827085506170988,293.6300446987152,-0.12914645671844482,-0.027824047952890396,0.0043236324563622475,
1763260323.8717453,2211,199294,500.0,,,,,,,295.58479928970337,,,,500.0
1763260324.514545,2214,199552,,0.009765625,0.0001803379418561235,681.0,0.3558190166950226,0.0001117276624427177,0.025534266605973244,296.22759890556335,0.0005013346672058105,-0.010729426518082619,0.004956708289682865,
1763260325.5873563,2220,200192,,0.0,0.0001799539168132469,681.0,0.3527374863624573,0.0004908618866465986,-0.005967618897557259,297.3004102706909,-0.09238648414611816,-0.003792267292737961,0.0009423363953828812,
1763260325.9884996,2223,200448,,0.0,0.00017980030679609627,681.0,0.36376282572746277,0.009081840515136719,0.005113341845571995,297.70155358314514,0.08528006076812744,-0.00044332072138786316,0.0008729109540581703,
1763260326.342735,2225,200704,,0.0,0.00017964669677894562,681.0,0.325510710477829,0.0006114945281296968,-0.008229448460042477,298.05578899383545,-0.028072595596313477,-0.00422513484954834,0.0016973493620753288,
1763260326.3902264,2226,200794,500.0,,,,,,,298.1032803058624,,,,500.0
1763260326.5912516,2227,200832,,0.0,0.0001795698917703703,680.0,0.30280476808547974,146.96995544433594,0.0025899698957800865,298.3043055534363,-0.00019752979278564453,0.0006657205522060394,0.0015265149995684624,
1763260327.2187138,2231,201294,500.0,,,,,,,298.93176770210266,,,,500.0
1763260327.9646518,2235,201728,,0.00390625,0.00017903225671034306,680.0,0.3143334984779358,0.00027271287399344146,-0.005319898948073387,299.6777057647705,-0.15513789653778076,0.026024341583251953,0.0023635756224393845,
1763260328.8900297,2241,202294,500.0,,,,,,,300.60308361053467,,,,500.0
1763260330.1351442,2248,203008,,0.0,0.00017826420662458986,680.0,0.2545543313026428,0.008327580988407135,-0.0009272508323192596,301.8481981754303,-0.09100854396820068,-0.0016629304736852646,0.0001804046332836151,
1763260330.4883595,2250,203264,,0.0,0.00017811059660743922,680.0,0.2947940230369568,0.00019720903947018087,0.002019246108829975,302.20141339302063,-0.011435270309448242,-0.0019817054271698,0.00038612913340330124,
1763260330.8744633,2253,203520,,0.0,0.00017795698659028858,680.0,0.2580195963382721,0.008075891062617302,-0.009212693199515343,302.5875172615051,-0.0603947639465332,0.004089817404747009,0.0003361459821462631,
1763260333.666598,2272,205440,,0.0078125,0.00017680491146165878,680.0,0.24342501163482666,0.005389824975281954,-0.009114361368119717,305.37965202331543,-0.17236363887786865,0.0017296187579631805,0.003723776899278164,
1763260334.7850375,2280,206294,500.0,,,,,,,306.4980914592743,,,,500.0
1763260337.223589,2295,207794,500.0,,,,,,,308.93664288520813,,,,500.0
1763260337.8009977,2298,208128,,0.005859375,0.00017519200628157705,679.0,0.30380168557167053,0.0003706489806063473,0.020538873970508575,309.5140516757965,-0.1850978136062622,0.001459561288356781,0.0037003522738814354,
1763260339.6333332,2310,209294,500.0,,,,,,,311.34638714790344,,,,500.0
1763260340.015006,2312,209536,,0.03125,0.00017434715118724853,679.0,0.3720209300518036,0.008374394848942757,0.025340981781482697,311.72806000709534,0.08888441324234009,-0.024140983819961548,0.011025502346456051,
1763260340.996802,2318,210176,,0.00390625,0.00017396314069628716,679.0,0.2504197359085083,9.701645467430353e-05,0.005936328321695328,312.7098560333252,0.253217875957489,0.0022632814943790436,0.00020351819694042206,
