losses/approx_kl,losses/clipfrac,losses/explained_variance,charts/episodic_length,losses/value_loss,charts/learning_rate,_step,global_step,losses/entropy,losses/policy_loss,_timestamp,charts/episodic_return,_runtime,charts/SPS,losses/old_approx_kl
0.002493857406079769,0.001953125,-0.6721757650375366,,0.00043979985639452934,0.000243087561102584,1172,94976,0.5982316136360168,0.003914523869752884,1763260321.6536686,,231.40170168876648,469.0,0.03299335017800331
0.0033245328813791275,0.0078125,-0.5206283330917358,,0.0006696127820760012,0.00024254992604255676,1181,95872,0.6008102297782898,-0.00839260034263134,1763260323.396288,,233.14432096481323,470.0,0.005052653141319752
0.0004449645057320595,0.0,-0.321946382522583,,0.0008409129222854972,0.00024224270600825548,1186,96384,0.5499938726425171,0.0038931798189878464,1763260324.3474314,,234.09546446800232,470.0,0.0013307007029652596
0.007541791535913944,0.01953125,-0.7149213552474976,,0.0003621159994509071,0.0002415514609310776,1197,97536,0.5540743470191956,0.006048381328582764,1763260326.3867335,,236.13476657867432,471.0,0.027070438489317894
,,,500.0,,,1213,99099,,,1763260329.289041,500.0,239.0370740890503,,
9.081978350877762e-05,0.0,-0.27701306343078613,,0.006431050132960081,0.00024047619081102312,1215,99328,0.5439849495887756,-0.004345450550317764,1763260329.7479134,,239.49594640731812,472.0,0.004030411131680012
0.0007556891068816185,0.0,-0.535130500793457,,0.00034488324308767915,0.00023978494573384523,1226,100480,0.5213701725006104,-0.006809845566749573,1763260331.7859728,,241.53400588035583,473.0,-0.002146049402654171
0.000601278617978096,0.0,0.2866935729980469,,0.00041945272823795676,0.00023955453070811927,1230,100864,0.5282716751098633,0.0059669651091098785,1763260332.2647903,,242.01282334327698,473.0,0.0034752115607261658
0.0010144440457224846,0.0,-0.2186448574066162,,0.00605566194280982,0.0002393241156823933,1234,101248,0.5439911484718323,-0.01024584285914898,1763260332.7255456,,242.47357869148254,474.0,-0.009371819905936718
0.0030238423496484756,0.0,-0.07644319534301758,,0.0007642701966688037,0.00023863287060521543,1245,102400,0.4305875301361084,-0.017141904681921005,1763260334.1489005,,243.89693355560303,476.0,0.014669395983219147
0.0002361554652452469,0.0,0.035022735595703125,,0.006805527489632368,0.0002380952355451882,1254,103296,0.4653892517089844,-6.105564534664154e-05,1763260335.3262517,,245.0742847919464,478.0,0.0034404657781124115
0.001323910430073738,0.001953125,-0.6983559131622314,,0.00022609400912187994,0.0002370199654251337,1271,105088,0.5762032866477966,-0.005912536755204201,1763260337.5862548,,247.3342878818512,481.0,-0.006837118417024612
0.0016198335215449333,0.0,-0.08338272571563721,,0.0005965647869743407,0.00023533025523647666,1299,107904,0.5456092953681946,-0.018016373738646507,1763260341.1919599,,250.9399929046631,486.0,-0.012441803701221943
0.003971460275352001,0.01953125,-0.24611639976501465,,0.0004107497807126492,0.00023287250951398164,1339,112000,0.5525673627853394,-0.022745084017515182,1763260345.9748156,,255.72284865379333,494.0,0.03465074673295021
,,,500.0,,,1340,112099,,,1763260346.0317235,500.0,255.7797565460205,,
0.00024013034999370575,0.0,-0.6415343284606934,,0.00035261435550637543,0.00023225806944537908,1349,113024,0.5838224291801453,-0.0037604495882987976,1763260347.8690457,,257.61707878112793,494.0,0.006079750135540962
,,,500.0,,,1363,114039,,,1763260349.7503479,500.0,259.4983808994293,,
0.003385818563401699,0.001953125,-0.1572052240371704,,0.025539245456457138,0.0002315668243682012,1365,114176,0.558612585067749,-0.013397961854934692,1763260350.1930554,,259.94108843803406,494.0,-0.023032229393720627
3.3981166779994965e-05,0.0,0.005302250385284424,149.0,316.3490905761719,0.00023125960433389992,1370,114688,0.5015521049499512,0.002283051609992981,1763260351.1586933,149.0,260.90672636032104,494.0,0.001625177450478077
0.001113222911953926,0.0,0.0002244710922241211,,327.0664978027344,0.00023064516426529735,1380,115712,0.5218039751052856,0.006310030817985535,1763260353.0875735,,262.8356065750122,495.0,-0.011626482009887695
0.0006400635465979576,0.0,-0.13492536544799805,,0.011550123803317547,0.00023056835925672203,1381,115840,0.47682178020477295,0.005296811461448669,1763260353.31235,,263.06038308143616,495.0,0.004033303819596767
0.005826197564601898,0.01953125,0.21565395593643188,,0.0003305322607047856,0.0002301075292052701,1388,116608,0.5917023420333862,0.018988486379384995,1763260354.6448452,,264.3928782939911,495.0,-0.0038437582552433014
0.0014985771849751472,0.0,0.0005391836166381836,,554.8489990234375,0.0002297235041623935,1395,117248,0.5714121460914612,-0.0013668136671185493,1763260355.7752838,,265.523316860199,496.0,0.022558588534593582
,,,500.0,,,1399,117688,,,1763260356.3506038,500.0,266.09863686561584,,
0.002598736435174942,0.017578125,0.0008544325828552246,,593.7160034179688,0.00022910906409379095,1405,118272,0.5880648493766785,-0.015326030552387238,1763260357.0660021,,266.81403517723083,497.0,-0.005461068823933601
,,,500.0,,,1432,120888,,,1763260361.3589127,500.0,271.10694575309753,,
3.378279507160187e-05,0.0,-6.198883056640625e-06,,362.92816162109375,0.00022749615891370922,1433,120960,0.5763647556304932,0.000923648476600647,1763260361.5798824,,271.32791543006897,499.0,-0.0006825197488069534
0.00018699001520872116,0.0,0.19261384010314941,,0.0004961433005519211,0.00022611366875935346,1455,123264,0.540209949016571,0.003507006913423538,1763260364.3487601,,274.09679317474365,503.0,-0.002862793393433094
,,,500.0,,,1456,123388,,,1763260364.398527,500.0,274.1465599536896,,
2.72504985332489e-05,0.0,0.00038361549377441406,,417.90130615234375,0.00022603686375077814,1457,123392,0.4975111782550812,-0.00034607574343681335,1763260364.5053706,,274.25340366363525,503.0,0.0007361024618148804
