charts/learning_rate,charts/episodic_return,_runtime,_timestamp,losses/explained_variance,global_step,losses/clipfrac,losses/approx_kl,losses/value_loss,losses/entropy,losses/old_approx_kl,losses/policy_loss,charts/episodic_length,charts/SPS,_step
6.190476415213197e-05,,580.3569550514221,1763260671.309745,-0.33136188983917236,396928,0.0,0.00042152591049671173,0.0003963376220781356,0.5654616951942444,0.0016233008354902267,-0.0027975551784038544,,719.0,4168
,500.0,581.8319656848907,1763260672.7847557,,398546,,,,,,,500.0,,4184
,500.0,582.7949991226196,1763260673.7477891,,399546,,,,,,,500.0,,4194
,500.0,583.3005666732788,1763260674.2533567,,400046,,,,,,,500.0,,4199
5.852534741279669e-05,,585.7403454780579,1763260676.6931355,-0.0005637407302856445,402560,0.0,4.7783367335796356e-05,515.129638671875,0.5178171396255493,-0.0004607653245329857,0.0005619525909423828,,722.0,4224
5.821812737849541e-05,,586.2219581604004,1763260677.1747482,-0.0009081363677978516,403072,0.0,7.227994501590729e-05,517.704833984375,0.5498408079147339,-0.0037403367459774017,0.0010275617241859436,,722.0,4229
,500.0,587.5769600868225,1763260678.52975,,404546,,,,,,,500.0,,4243
5.714285725844093e-05,,587.8970584869385,1763260678.8498485,0.14608168601989746,404864,0.0,0.00022218935191631317,0.0007471066201105714,0.521539568901062,-0.0031962618231773376,-0.0012132148258388042,,723.0,4246
5.6758832215564325e-05,,588.5009701251984,1763260679.4537601,-0.32153308391571045,405504,0.0,3.3918768167495728e-06,0.0007500224746763706,0.5306195616722107,0.00034583359956741333,-0.00018231943249702454,,724.0,4252
5.6682027206989005e-05,,588.650936126709,1763260679.6037261,7.95125961303711e-05,405632,0.0,4.0825456380844116e-05,520.5379028320312,0.5650579929351807,0.0018075183033943176,-0.0023227334022521973,,724.0,4254
5.6605222198413685e-05,,588.7680587768555,1763260679.7208488,0.07415974140167236,405760,0.0,0.000248689204454422,0.0026461235247552395,0.5092961192131042,0.005630007013678551,0.0003775693476200104,,724.0,4255
5.552995571633801e-05,,590.4846556186676,1763260681.4374456,-0.00012111663818359375,407552,0.0,3.807246685028076e-06,698.4796142578125,0.49173492193222046,0.00027449242770671844,0.00011408329010009766,,725.0,4273
5.529954069061205e-05,,590.8777549266815,1763260681.830545,-0.22583699226379395,407936,0.0,0.00023717526346445084,0.000691586232278496,0.5526918768882751,-0.0024024536833167076,-0.0033743921667337418,,725.0,4276
,500.0,590.9149544239044,1763260681.8677444,,408046,,,,,,,500.0,,4277
5.522273568203673e-05,,591.0064947605133,1763260681.9592848,-0.0004342794418334961,408064,0.0,1.3368204236030579e-05,296.92071533203125,0.5603902339935303,-0.00030966848134994507,0.0004569031298160553,,725.0,4278
5.4608295613434166e-05,,592.0501987934113,1763260683.0029888,-7.30752944946289e-05,409088,0.0,5.0067901611328125e-06,793.6383056640625,0.5634760856628418,0.000313635915517807,0.0002675391733646393,,725.0,4288
5.4454685596283525e-05,,592.2865033149719,1763260683.2392933,-0.1091609001159668,409344,0.0,4.077143967151642e-05,0.000924499414395541,0.5373280048370361,-0.00044650956988334656,0.00037635862827301025,,726.0,4290
,500.0,592.4360132217407,1763260683.3888032,,409546,,,,,,,500.0,,4292
5.299539043335244e-05,,594.7100472450256,1763260685.6628373,0.08298760652542114,411776,0.0,9.627453982830048e-05,0.0023178064730018377,0.5584945678710938,0.0003328248858451843,-0.0038983896374702454,,727.0,4314
5.276497540762648e-05,,595.1220297813416,1763260686.0748198,0.00021594762802124023,412160,0.0,6.774906069040298e-05,283.1798095703125,0.56874018907547,0.00035072583705186844,-0.0016659051179885864,,727.0,4318
,500.0,597.919379234314,1763260688.8721693,,415046,,,,,,,500.0,,4346
