losses/value_loss,losses/old_approx_kl,losses/approx_kl,_runtime,charts/episodic_return,charts/learning_rate,charts/SPS,charts/episodic_length,losses/entropy,_timestamp,global_step,losses/clipfrac,_step,losses/policy_loss,losses/explained_variance
0.00563474278897047,0.004794328473508358,0.0016261087730526924,254.87946462631226,,0.00023133640934247524,505.0,,0.51677405834198,1763260345.8846586,114560,0.0078125,1339,-0.0017713066190481186,-0.10678267478942871
0.0008662560721859336,0.0054109832271933556,0.0006900513544678688,255.10736751556396,,0.00023125960433389992,505.0,,0.49035775661468506,1763260346.1125615,114688,0.0,1340,-0.0011548399925231934,-0.2409520149230957
0.004806597251445055,-0.003161082975566387,0.00016100425273180008,256.8566403388977,,0.00023072196927387267,505.0,,0.5449759364128113,1763260347.8618343,115584,0.0,1349,-0.002918519079685211,0.09944683313369751
0.004420810379087925,0.01946783810853958,0.0017486140131950378,259.4917013645172,,0.00022987711417954415,506.0,,0.5575888156890869,1763260350.4968953,116992,0.0,1363,-0.020962070673704147,0.0006666779518127441
0.000127603008877486,-0.0020688967779278755,0.00017638225108385086,259.9178566932678,,0.0002297235041623935,506.0,,0.5607515573501587,1763260350.9230506,117248,0.0,1365,0.0006889291107654572,0.030147433280944824
0.00016738567501306534,0.0011302167549729347,1.920107752084732e-05,260.8011085987091,,0.00022941628412809223,506.0,,0.5266387462615967,1763260351.8063025,117760,0.0,1370,0.002020031213760376,0.04366093873977661
0.00022143463138490915,0.001246192492544651,4.890467971563339e-05,262.6396703720093,,0.00022880184405948967,507.0,,0.5755228996276855,1763260353.6448643,118784,0.0,1380,0.0007574595510959625,0.05651146173477173
,,,262.66741466522217,500.0,,,500.0,,1763260353.6726086,118853,,1381,,
0.003082513576373458,0.0026735449209809303,4.970189183950424e-05,264.0164575576782,,0.00022834101400803775,507.0,,0.5807142853736877,1763260355.0216515,119552,0.0,1388,-0.0002635866403579712,0.006265521049499512
0.00023092988703865558,-0.0004689963534474373,0.0006783874705433846,265.25995922088623,,0.00022788018395658582,508.0,,0.5725769996643066,1763260356.2651532,120320,0.0,1395,0.0017047449946403503,0.19766342639923096
0.000980741111561656,-0.01483039278537035,0.004584466107189655,265.6904845237732,,0.00022764976893085986,508.0,,0.5861759185791016,1763260356.6956785,120704,0.02734375,1399,-0.0017596259713172913,-0.1530524492263794
0.00024367333389818668,-0.013090691529214382,0.0005489932373166084,266.40462374687195,,0.00022726574388798326,509.0,,0.580065131187439,1763260357.4098177,121344,0.0,1405,-0.004694994539022446,0.02834606170654297
0.010205511003732681,-0.01234382763504982,0.0032696379348635674,270.96217131614685,,0.00022565283870790154,511.0,,0.606406569480896,1763260361.9673653,124032,0.0,1432,-0.019502492621541023,0.277141809463501
0.0007360115996561944,0.029087277129292488,0.007816926576197147,271.0868227481842,,0.00022557603369932622,511.0,,0.4464104175567627,1763260362.0920167,124160,0.013671875,1433,-0.018380802124738693,-0.6663405895233154
,,,273.5584487915039,500.0,,,500.0,,1763260364.5636427,126353,,1455,,
202.0767822265625,0.017179789021611214,0.001543707214295864,273.69814014434814,,0.00022419354354497045,515.0,,0.5470612645149231,1763260364.703334,126464,0.0,1456,-0.006891969591379166,3.212690353393555e-05
0.0046053677797317505,0.008130008354783058,0.0009174719452857971,273.83588337898254,,0.00022411673853639513,515.0,,0.5750153660774231,1763260364.8410773,126592,0.0,1457,-0.010723069310188293,-0.16134774684906006
,,,281.71689558029175,500.0,,,500.0,,1763260372.7220895,132353,,1514,,
0.0006808604812249541,0.0010792231187224388,0.00015700887888669968,283.04105734825134,,0.00022019969765096903,522.0,,0.5689147710800171,1763260374.0462513,133120,0.0,1521,-0.001140490174293518,-0.18164288997650146
0.004089562222361565,0.0010510897263884544,4.303641617298126e-06,283.7365779876709,,0.00021996928262524307,522.0,,0.5637623071670532,1763260374.741772,133504,0.0,1525,0.0005882605910301208,-0.036390066146850586
0.00011335090675856918,-0.001043102703988552,0.0014448156580328941,284.16266417503357,,0.00021981567260809243,523.0,,0.5757020711898804,1763260375.1678581,133760,0.001953125,1527,0.00913134217262268,0.09070026874542236
378.8121337890625,-0.002032361924648285,0.0006137881428003311,284.44255542755127,,0.0002197388675995171,522.0,,0.5727027654647827,1763260375.4477494,133888,0.0,1529,0.003856133669614792,-1.9431114196777344e-05
511.3576354980469,-0.002300943247973919,0.0012794574722647667,285.34492206573486,,0.00021943164756521583,523.0,,0.48775404691696167,1763260376.350116,134400,0.00390625,1534,0.009557148441672325,0.00012308359146118164
0.0005036425427533686,0.005275842733681202,0.0004750983789563179,285.68860030174255,,0.00021927803754806519,523.0,,0.5772426724433899,1763260376.6937943,134656,0.0,1536,0.00165519118309021,-0.15189659595489502
