losses/entropy,losses/policy_loss,losses/value_loss,_runtime,charts/episodic_return,losses/explained_variance,losses/old_approx_kl,_timestamp,charts/episodic_length,_step,charts/SPS,charts/learning_rate,losses/approx_kl,losses/clipfrac,global_step
0.5621306896209717,0.0014876127243041992,1565.55517578125,299.92173504829407,,0.00018960237503051758,0.0046416986733675,1763260378.457521,,2211,766.0,0.00017795698659028858,0.0007924214005470276,0.0,203520
0.608013927936554,-0.006038149818778038,0.00024313312314916402,300.324969291687,,-0.01498401165008545,-0.005863371305167675,1763260378.8607552,,2214,766.0,0.00017772657156456262,0.0010914271697402,0.0,203904
,,,300.79598331451416,500.0,,,1763260379.3317692,500.0,2220,,,,,204463
0.6010019183158875,0.0012727901339530945,0.0009525232017040253,301.1153099536896,,0.08326774835586548,0.002236815169453621,1763260379.6510959,,2223,767.0,0.00017718893650453538,8.48919153213501e-05,0.0,204800
,,,301.2412939071655,500.0,,,1763260379.7770798,500.0,2225,,,,,204963
0.5594528317451477,-0.002160899341106415,1320.0167236328125,301.3746585845947,,0.0005581378936767578,-0.0008662799373269081,1763260379.9104445,,2226,768.0,0.00017703532648738474,0.000312083400785923,0.0,205056
0.5965567827224731,-0.00282079353928566,0.005880860611796379,301.4900758266449,,-0.1409062147140503,0.006745080463588238,1763260380.0258617,,2227,768.0,0.00017695852147880942,0.00016175676137208939,0.0,205184
0.56026291847229,0.00013167411088943481,870.95361328125,301.8295340538025,,1.4841556549072266e-05,-0.0005140425637364388,1763260380.36532,,2231,768.0,0.00017672810645308346,0.00014766771346330643,0.0,205568
,,,302.1699159145355,500.0,,,1763260380.7057018,500.0,2235,,,,,205963
0.584956169128418,-0.0045102424919605255,0.006010735873132944,302.7655391693115,,0.1650848388671875,0.013347477652132511,1763260381.301325,,2241,769.0,0.0001761136663844809,0.0009134309366345406,0.0,206592
0.5668848752975464,-0.01470627449452877,0.0003171841672156006,303.4707818031311,,-0.07376623153686523,-0.012381674721837044,1763260382.0065677,,2248,770.0,0.00017565283633302897,0.0035994146019220352,0.0,207360
0.5678279399871826,0.0011709481477737427,1437.16796875,303.58592200279236,,0.00024825334548950195,-0.006444030441343784,1763260382.121708,,2250,770.0,0.00017557603132445365,0.0012907469645142555,0.0,207488
0.607606828212738,-0.01238839328289032,0.0002530108322389424,303.918710231781,,-0.37959110736846924,0.004281377419829369,1763260382.4544961,,2253,771.0,0.0001753456162987277,0.0010925251990556717,0.0,207872
0.5239096879959106,-0.00629039853811264,0.0012669297866523266,306.1981871128082,,0.05065357685089111,0.0009826421737670898,1763260384.733973,,2272,771.0,0.0001741935411700979,0.0009446181356906891,0.0,209792
0.5771814584732056,-0.0004829429090023041,658.0394897460938,306.9884934425354,,0.00013339519500732422,-0.00020869635045528412,1763260385.5242794,,2280,772.0,0.0001737327256705612,2.5928020477294922e-05,0.0,210560
0.5310417413711548,0.00043074414134025574,0.005752462428063154,308.3703179359436,,0.1319836974143982,-0.0020907046273350716,1763260386.9061038,,2295,774.0,0.00017281106556765735,0.00012699048966169357,0.0,212096
,,,308.6338412761688,500.0,,,1763260387.1696272,500.0,2298,,,,,212463
0.5376712083816528,-0.006271474063396454,0.00594038050621748,309.75705552101135,,0.24599838256835938,-0.004325957968831062,1763260388.2928414,,2310,775.0,0.0001718894054647535,0.0007919985800981522,0.0,213632
0.5664076805114746,-0.009654693305492401,0.0003080077876802534,310.0118086338043,,0.10898154973983765,0.009185588918626308,1763260388.5475945,,2312,776.0,0.00017173579544760287,0.0017764391377568245,0.0,213888
,,,310.4853250980377,500.0,,,1763260389.021111,500.0,2318,,,,,214463
0.5037969946861267,0.006807882338762283,0.0003960594767704606,310.9450409412384,,0.23461318016052246,-0.012592562474310398,1763260389.4808269,,2322,777.0,0.0001711213553790003,0.001906312070786953,0.005859375,214912
0.46831920742988586,-0.005547087639570236,1599.595703125,311.0582799911499,,0.00030559301376342773,0.0004959823563694954,1763260389.594066,,2324,777.0,0.00017104455037042499,0.00023203808814287186,0.0,215040
0.4719049036502838,0.0020479466766119003,941.1827392578125,311.50690603256226,,0.0001608729362487793,6.438326090574265e-05,1763260390.042692,,2329,777.0,0.0001707373303361237,0.00026077497750520706,0.0,215552
0.5198975205421448,-0.005862005054950714,287.4341735839844,312.4399256706238,,0.00020712614059448242,0.0031558172777295113,1763260390.9757116,,2339,778.0,0.00017012289026752114,0.0008056005463004112,0.0,216576
,,,312.7802047729492,500.0,,,1763260391.3159907,500.0,2343,,,,,216963
0.4807719588279724,0.0015400499105453491,1308.519287109375,313.26094603538513,,0.0001576542854309082,0.0009188707917928696,1763260391.796732,,2348,779.0,0.0001695852552074939,0.00022782385349273682,0.0,217472
0.49661359190940857,-0.0009015332907438278,0.005314915906637907,313.82261323928833,,0.08691775798797607,0.001560574397444725,1763260392.3583992,,2354,780.0,0.0001692012301646173,0.0005223751068115234,0.0,218112
0.43508392572402954,-0.0038650184869766235,1537.5467529296875,314.64366579055786,,0.00020456314086914062,-5.131866782903671e-05,1763260393.1794517,,2363,781.0,0.00016866359510459006,7.806066423654556e-05,0.0,219008
0.4720236659049988,0.004584208130836487,0.0044687669724226,317.17772817611694,,0.11390846967697144,0.0005585458129644394,1763260395.713514,,2389,783.0,0.00016705068992450833,0.00023529492318630219,0.0,221696
0.4550821781158447,0.0022711344063282013,0.004927170462906361,317.8221707344055,,0.00638270378112793,0.001723146066069603,1763260396.3579566,,2394,784.0,0.00016674346989020705,0.000176234170794487,0.0,222208
0.443254292011261,-0.0015834681689739227,0.0008254727581515908,319.7871723175049,,-0.22684001922607422,0.0028840648010373116,1763260398.3229582,,2409,783.0,0.0001658218097873032,0.00033384840935468674,0.0,223744
,,,321.98388934135437,500.0,,,1763260400.5196753,500.0,2426,,,,,225463
0.5277101993560791,0.0010727941989898682,0.00032803023350425065,322.58501052856445,,-0.04488396644592285,-0.00376143679022789,1763260401.1207964,,2430,783.0,0.00016451612464152277,0.0002704821527004242,0.0,225920
0.4655851423740387,-0.001358935609459877,0.0007800813764333725,325.1124584674835,,-0.009568452835083008,0.0022284388542175293,1763260403.6482444,,2449,783.0,0.00016336404951289296,0.00021413154900074005,0.0,227840
,,,327.10834193229675,500.0,,,1763260405.6441278,500.0,2465,,,,,229463
0.5468104481697083,0.004353880882263184,1058.99072265625,329.6176965236664,,8.52346420288086e-06,0.007536331191658974,1763260408.1534824,,2491,786.0,0.00016082949878182262,0.00028939731419086456,0.0,232064
0.5608053207397461,-0.01777365617454052,0.0010255180532112718,329.8410909175873,,-0.11882996559143066,-0.00841242540627718,1763260408.3768768,,2493,786.0,0.00016067588876467198,0.001381504349410534,0.001953125,232320
0.5667917132377625,-0.001695943996310234,0.005897375755012035,330.9977927207947,,0.02005183696746826,0.0004816614091396332,1763260409.5335786,,2506,787.0,0.00015990783867891878,0.0009231530129909515,0.0,233600
0.53463214635849,-0.0022311508655548096,0.0038081021048128605,331.70888924598694,,0.0804339051246643,0.0026491740718483925,1763260410.2446752,,2514,788.0,0.00015944700862746686,0.0002570590004324913,0.0,234368
0.5261109471321106,-0.013681262731552124,0.0016175247728824615,331.81964635849,,-1.952925682067871,0.00013028737157583237,1763260410.3554323,,2515,788.0,0.00015937020361889154,0.0006386460736393929,0.0,234496
0.4145790636539459,-0.0022802576422691345,2348.83349609375,332.0503327846527,,0.0006311535835266113,0.002986402250826359,1763260410.5861187,,2520,788.0,0.0001592165936017409,5.390215665102005e-05,0.0,234752
,,,333.4124073982239,500.0,,,1763260411.9481933,500.0,2533,,,,,236106
,,,334.3388719558716,111.0,,,1763260412.8746579,111.0,2540,,,,,236717
0.5413318872451782,0.0013890266418457031,0.013144323602318764,335.3654034137726,,-0.15566086769104004,0.001547476276755333,1763260413.9011893,,2547,788.0,0.00015760368842165917,9.809993207454681e-05,0.0,237440
