charts/learning_rate,losses/explained_variance,charts/SPS,losses/old_approx_kl,charts/episodic_length,_timestamp,charts/episodic_return,losses/entropy,_runtime,losses/policy_loss,global_step,_step,losses/value_loss,losses/clipfrac,losses/approx_kl
0.00024132104590535164,0.0003821849822998047,651.0,0.0038459626957774162,,1763260263.2148452,,0.44994357228279114,184.67074513435364,5.513429641723633e-06,97920,1186,1468.0802001953125,0.0,0.0002973964437842369
0.00024062980082817376,-1.3785209655761719,653.0,-0.019429968670010567,,1763260264.6118357,,0.523006021976471,186.06773567199707,-0.02247600257396698,99072,1197,0.006675771437585354,0.0078125,0.004085756838321686
0.0002396313357166946,-7.9524078369140625,655.0,-0.0032045049592852592,,1763260266.5965142,,0.43290525674819946,188.05241417884827,-0.00170174241065979,100736,1213,0.001270829001441598,0.0,0.0009454051032662392
0.00023955453070811927,0.00020879507064819336,655.0,0.0023957183584570885,,1763260266.7758148,,0.46887731552124023,188.23171472549438,-0.005415361374616623,100864,1215,1115.7373046875,0.0,0.0002024555578827858
0.0002388632856309414,0.07038921117782593,657.0,-0.0015779538080096245,,1763260268.1416333,,0.43078604340553284,189.59753322601318,-0.001849934458732605,102016,1226,0.003370928578078747,0.0,0.0004642242565751076
0.00023863287060521543,-0.0001398324966430664,657.0,-0.0024270256981253624,,1763260268.610479,,0.5362700819969177,190.06637907028198,-0.0016306005418300629,102400,1230,146.71324157714844,0.0,3.310199826955795e-05
0.00023840245557948947,4.4286251068115234e-05,658.0,0.010307530872523785,,1763260269.0825677,,0.4519849121570587,190.53846764564514,0.014885909855365753,102784,1234,1996.0716552734375,0.0,0.0006820885464549065
0.0002377112105023116,-0.043799519538879395,659.0,0.005297635681927204,,1763260270.4777312,,0.5058882236480713,191.93363118171692,-0.012388214468955994,103936,1245,0.000701666867826134,0.0,0.001685027964413166
0.00023717357544228435,-0.07859623432159424,661.0,-0.013756412081420422,,1763260271.4521317,,0.5551303625106812,192.90803170204163,-0.009179290384054184,104832,1254,0.001972329104319215,0.0,0.0006929272785782814
0.00023617511033080518,0.0008220076560974121,665.0,-0.010440228506922722,,1763260272.9740748,,0.42424604296684265,194.42997479438782,0.015617934986948967,106496,1271,1276.10791015625,0.0,0.0007251519709825516
0.00023440859513357282,-0.9542711973190308,670.0,0.0026239175349473953,,1763260276.114187,,0.39091309905052185,197.57008695602417,-0.0005790889263153076,109440,1299,0.00019886974769178778,0.0,0.00039337947964668274
0.00023202765441965312,0.04464733600616455,674.0,-0.006218167021870613,,1763260280.9972048,,0.4493997097015381,202.45310473442078,0.009181730449199677,113408,1339,1805.20849609375,0.013671875,0.0024896450340747833
